timestamp,announcements,withdrawals,nlri_ann,dups,origin_0,origin_2,origin_changes,imp_wd,imp_wd_spath,imp_wd_dpath,as_path_max,unique_as_path_max,edit_distance_max,edit_distance_dict_0,edit_distance_dict_1,edit_distance_dict_2,edit_distance_dict_3,edit_distance_dict_4,edit_distance_dict_5,edit_distance_dict_6,edit_distance_unique_dict_0,edit_distance_unique_dict_1,number_rare_ases,nadas,flaps,edit_distance_avg,rare_ases_avg,label
2024-01-01 00:00:00,89,1,86,0,0,0,0,2,0,2,12,2,7,0,0,0,0,0,0,1,0,0,25,0,0,7.171686307281095,0.050063321931848294,synthetic_anomaly
2024-01-01 00:01:00,186,3,180,0,0,0,0,2,0,2,11,2,6,0,0,0,0,0,0,2,0,0,49,0,0,5.671206388994619,0.058941389603750206,synthetic_anomaly
2024-01-01 00:02:00,52,5,47,0,0,0,0,4,2,2,10,2,6,0,0,0,1,0,0,1,0,0,59,2,0,4.656832029349938,0.24336009455231292,synthetic_anomaly
2024-01-01 00:03:00,185,2,180,0,0,0,0,2,0,2,11,2,6,0,0,0,0,0,0,2,0,0,47,0,0,5.893591243975,0.05706424812835303,synthetic_anomaly
2024-01-01 00:04:00,199,21,177,0,0,0,0,4,0,4,11,3,5,0,2,0,0,0,2,0,0,2,75,4,0,3.4104379548958312,0.0780244435927008,synthetic_anomaly
2024-01-01 00:05:00,112,3,109,0,0,0,0,2,0,2,12,2,6,0,0,0,0,0,0,2,0,0,43,0,0,6.0,0.08247407621246151,synthetic_anomaly
2024-01-01 00:06:00,75,4,69,0,0,0,0,3,1,2,10,2,6,0,0,0,1,0,0,1,0,0,55,1,0,5.040991854747891,0.1898206782816895,synthetic_anomaly
2024-01-01 00:07:00,50,6,45,0,0,0,0,4,2,2,10,2,6,0,0,0,1,0,0,1,0,0,60,3,0,4.616700414246472,0.24895313969806998,synthetic_anomaly
2024-01-01 00:08:00,149,2,143,0,0,0,0,2,0,2,11,2,6,0,0,0,0,0,0,2,0,0,48,0,0,5.772440076744152,0.08788052668645752,synthetic_anomaly
2024-01-01 00:09:00,194,10,178,0,0,0,0,3,0,3,11,3,5,0,1,0,0,0,1,1,0,1,63,2,0,4.29914857308357,0.07052287357268644,synthetic_anomaly
2024-01-01 00:10:00,44,0,42,0,0,0,0,1,0,1,13,2,8,0,0,0,0,0,0,0,0,0,13,0,0,8.293298587110577,0.04422139853043305,synthetic_anomaly
2024-01-01 00:11:00,63,5,58,0,0,0,0,4,2,2,10,2,6,0,0,0,1,0,0,1,0,0,57,2,0,4.863624250921414,0.21453996787515928,synthetic_anomaly
2024-01-01 00:12:00,193,9,178,0,0,0,0,3,0,3,11,3,5,0,1,0,0,0,1,1,0,1,62,2,0,4.423104256201488,0.06947656871567466,synthetic_anomaly
2024-01-01 00:13:00,78,3,75,0,0,0,0,2,0,2,13,2,6,0,0,0,0,0,0,2,0,0,41,0,0,6.0,0.10182554224678281,synthetic_anomaly
2024-01-01 00:14:00,44,0,43,0,0,0,0,1,0,1,13,2,8,0,0,0,0,0,0,0,0,0,14,0,0,8.272580982398534,0.04432930628248347,synthetic_anomaly
2024-01-01 00:15:00,57,4,55,0,0,0,0,2,0,2,14,2,6,0,0,0,0,0,0,2,0,0,39,0,0,6.0,0.11763310312582512,synthetic_anomaly
2024-01-01 00:16:00,44,0,43,0,0,0,0,1,0,1,13,2,8,0,0,0,0,0,0,0,0,0,13,0,0,8.285439290627592,0.04426233371709986,synthetic_anomaly
2024-01-01 00:17:00,190,6,179,0,0,0,0,3,0,3,11,2,6,0,1,0,0,0,1,1,0,1,56,1,0,4.9379851704562725,0.06513047995381478,synthetic_anomaly
2024-01-01 00:18:00,561,18,557,0,0,0,0,4,2,2,12,2,6,0,0,0,0,0,0,2,0,0,81,0,0,6.0,0.019567980024571788,synthetic_anomaly
2024-01-01 00:19:00,82,1,79,0,0,0,0,2,0,2,12,2,7,0,0,0,0,0,0,1,0,0,23,0,0,7.303508081157913,0.04937672753601649,synthetic_anomaly
2024-01-01 00:20:00,178,2,174,0,0,0,0,2,0,2,11,2,6,0,0,0,0,0,0,2,0,0,46,0,0,6.0,0.057954074735041466,synthetic_anomaly
2024-01-01 00:21:00,190,6,179,0,0,0,0,3,0,3,11,2,6,0,1,0,0,0,1,1,0,1,57,1,0,4.912149145243614,0.0653485607871088,synthetic_anomaly
2024-01-01 00:22:00,145,2,142,0,0,0,0,2,0,2,11,2,6,0,0,0,0,0,0,2,0,0,38,0,0,6.38334886372153,0.05416938161268796,synthetic_anomaly
2024-01-01 00:23:00,211,3,207,0,0,0,0,2,0,2,11,2,6,0,0,0,0,0,0,2,0,0,49,0,0,6.0,0.051706892555529196,synthetic_anomaly
