timestamp,announcements,withdrawals,nlri_ann,dups,origin_0,origin_2,origin_changes,imp_wd,imp_wd_spath,imp_wd_dpath,as_path_max,unique_as_path_max,edit_distance_max,edit_distance_dict_0,edit_distance_dict_1,edit_distance_dict_2,edit_distance_dict_3,edit_distance_dict_4,edit_distance_dict_5,edit_distance_dict_6,edit_distance_unique_dict_0,edit_distance_unique_dict_1,number_rare_ases,nadas,flaps,edit_distance_avg,rare_ases_avg,label
2024-01-01 00:00:00,6217,8,5722,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0,672,0,0,0.0,0.022287224312354977,synthetic_anomaly
2024-01-01 00:01:00,308,17,274,0,306,2,0,1,0,1,15,3,1,0,1,0,0,0,0,0,0,1,81,0,0,1.2675861351873314,0.056311123412494196,synthetic_anomaly
2024-01-01 00:02:00,2065,0,2036,0,0,0,0,0,0,0,24,2,0,0,0,0,0,0,0,0,0,0,234,0,0,0.0,0.020682373446834188,synthetic_anomaly
2024-01-01 00:03:00,3354,1,3354,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,252,0,0,0.0,0.017073765169834575,synthetic_anomaly
2024-01-01 00:04:00,195,6,162,0,0,0,0,2,0,2,24,3,1,0,2,0,0,0,0,0,0,2,56,1,0,1.0,0.049604297994272455,synthetic_anomaly
2024-01-01 00:05:00,825,1,825,0,0,0,0,0,0,0,17,1,0,0,0,0,0,0,0,0,0,0,199,0,0,0.0,0.046001658121606906,synthetic_anomaly
2024-01-01 00:06:00,1246,0,1246,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,0,0,0,0,147,0,0,0.0,0.025270785771770325,synthetic_anomaly
2024-01-01 00:07:00,1546,0,1366,0,0,0,0,0,0,0,13,2,0,0,0,0,0,0,0,0,0,0,42,0,0,0.0,0.00463028951210511,synthetic_anomaly
2024-01-01 00:08:00,5545,4,5545,0,0,0,0,0,0,0,20,1,0,0,0,0,0,0,0,0,0,0,782,0,0,0.0,0.02910569750879387,synthetic_anomaly
2024-01-01 00:09:00,2364,75,2364,0,0,0,0,0,0,0,16,1,0,0,0,0,0,0,0,0,0,0,221,0,0,0.0,0.01820647581401009,synthetic_anomaly
2024-01-01 00:10:00,551,2,539,0,546,5,0,0,0,0,14,2,1,0,0,0,0,0,0,0,0,0,47,0,0,0.9749179300973672,0.015344309183554158,synthetic_anomaly
2024-01-01 00:11:00,3432,1,3397,0,0,0,0,15,0,15,19,3,2,0,14,1,0,0,0,0,0,13,157,0,0,1.0915499001422866,0.01472887709626072,synthetic_anomaly
2024-01-01 00:12:00,2558,2,2364,0,0,0,0,14,7,7,18,4,2,0,4,4,0,0,0,0,0,4,133,0,0,1.5033396259717018,0.009708787206898009,synthetic_anomaly
2024-01-01 00:13:00,3536,1,3500,0,0,0,0,15,0,15,19,3,2,0,14,1,0,0,0,0,0,13,157,0,0,1.0936738066001448,0.014152953876475926,synthetic_anomaly
2024-01-01 00:14:00,3955,4,3930,0,0,0,0,9,3,6,15,4,7,0,1,1,0,1,2,0,0,1,695,0,0,3.808605443520549,0.048342427099485545,synthetic_anomaly
2024-01-01 00:15:00,836,229,835,0,0,0,0,0,0,0,12,2,0,0,0,0,0,0,0,0,0,0,96,0,0,0.0,0.023885495298630554,synthetic_anomaly
2024-01-01 00:16:00,909,33,736,0,0,0,0,19,17,2,17,2,2,0,0,0,2,0,0,0,0,0,70,0,0,1.755792519097587,0.013254143112998818,synthetic_anomaly
2024-01-01 00:17:00,1153,0,1116,0,0,0,0,7,5,2,29,3,1,0,2,0,0,0,0,0,0,2,278,0,0,1.246134926163075,0.05235914103809345,synthetic_anomaly
2024-01-01 00:18:00,1131,12,1036,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,66,0,0,0.0,0.010719726858911887,synthetic_anomaly
2024-01-01 00:19:00,314,8,313,0,0,0,0,0,0,0,26,1,0,0,0,0,0,0,0,0,0,0,41,0,0,0.0,0.02279611495195042,synthetic_anomaly
2024-01-01 00:20:00,368,147,353,0,0,0,0,11,0,11,13,2,1,0,11,0,0,0,0,0,0,11,64,0,0,1.0,0.029724522524339023,synthetic_anomaly
2024-01-01 00:21:00,2124,34,2099,0,0,0,0,0,0,0,18,2,0,0,0,0,0,0,0,0,0,0,226,0,0,0.0,0.02130476691850442,synthetic_anomaly
2024-01-01 00:22:00,1856,182,1711,0,0,0,0,20,0,20,20,3,3,0,0,0,20,0,0,0,0,0,248,0,0,3.0,0.02881914334470928,synthetic_anomaly
