timestamp,announcements,withdrawals,nlri_ann,dups,origin_0,origin_2,origin_changes,imp_wd,imp_wd_spath,imp_wd_dpath,as_path_max,unique_as_path_max,edit_distance_max,edit_distance_dict_0,edit_distance_dict_1,edit_distance_dict_2,edit_distance_dict_3,edit_distance_dict_4,edit_distance_dict_5,edit_distance_dict_6,edit_distance_unique_dict_0,edit_distance_unique_dict_1,number_rare_ases,nadas,flaps,edit_distance_avg,rare_ases_avg,label
2024-01-01 00:00:00,145,2,40,1,0,0,0,60,1,59,9,6,4,0,21,21,17,0,0,0,0,21,25,1,0,1.9726116013960255,0.03169502107831898,synthetic_anomaly
2024-01-01 00:01:00,651,56,640,0,602,49,2,1,0,1,16,3,2,0,1,0,0,1,0,0,0,1,137,0,0,1.2783891062212525,0.03708027203975635,synthetic_anomaly
2024-01-01 00:02:00,1577,3,1493,0,0,0,0,9,1,8,21,5,2,0,8,1,0,0,0,0,0,5,201,1,0,1.0559225693498326,0.028392353291138005,synthetic_anomaly
2024-01-01 00:03:00,56,6,24,0,0,0,0,21,11,9,15,4,13,0,2,2,2,0,0,0,0,2,21,0,0,4.186349181432642,0.06659227137940708,synthetic_anomaly
2024-01-01 00:04:00,778,22,562,0,0,0,0,2,0,2,17,5,2,0,1,1,0,0,0,0,0,1,113,1,0,2.1220205261067147,0.03263504516982951,synthetic_anomaly
2024-01-01 00:05:00,1394,590,746,0,0,0,0,0,0,0,15,2,1,0,0,0,0,0,0,0,0,0,7,561,0,0.7518194516791138,0.0025822692437279288,synthetic_anomaly
2024-01-01 00:06:00,82,1,43,4,0,0,0,24,2,22,11,5,2,0,20,2,1,0,0,0,0,17,23,0,0,1.1312809746762,0.055029622853275326,synthetic_anomaly
2024-01-01 00:07:00,584,47,429,0,0,0,0,1,0,1,16,3,4,0,0,0,0,1,0,0,0,0,88,7,0,4.438553616309708,0.034042084858076437,synthetic_anomaly
2024-01-01 00:08:00,79,0,53,0,0,0,0,16,15,1,7,2,0,0,1,0,0,0,0,0,0,1,28,0,0,0.16796285732355587,0.11232477154074073,synthetic_anomaly
2024-01-01 00:09:00,886,16,621,0,0,0,0,68,4,64,39,8,3,0,4,2,58,0,0,0,0,2,130,0,0,2.839850634089064,0.028143265329162115,synthetic_anomaly
