announcements,withdrawals,nlri_ann,dups,origin_0,origin_2,origin_changes,imp_wd,imp_wd_spath,imp_wd_dpath,as_path_max,unique_as_path_max,edit_distance_max,edit_distance_dict_0,edit_distance_dict_1,edit_distance_dict_2,edit_distance_dict_3,edit_distance_dict_4,edit_distance_dict_5,edit_distance_dict_6,edit_distance_unique_dict_0,edit_distance_unique_dict_1,number_rare_ases,nadas,flaps,edit_distance_avg,rare_ases_avg,timestamp,label,discovered_label,generation_method,log_transform_used,bgp_constraints_enforced
101,0,101,1,96,5,2,2,0,2,28,3,3,0,2,2,1,0,0,0,0,1,70,11,0,1.8660024877181953,0.17787822943613696,2024-01-01 00:00:00,synthetic,likely_normal_synthetic,enhanced_adasyn,True,True
101,0,101,0,95,6,2,1,0,1,28,3,3,0,1,1,1,0,0,0,0,1,72,10,0,1.9538166972542035,0.18040121354971078,2024-01-01 00:01:00,synthetic,likely_normal_synthetic,enhanced_adasyn,True,True
100,1,100,0,95,5,1,1,0,1,28,2,2,0,1,1,1,0,0,0,0,1,73,10,0,1.2357116241602233,0.1844916232822458,2024-01-01 00:02:00,synthetic,likely_normal_synthetic,enhanced_adasyn,True,True
98,1,98,2,93,5,2,4,1,3,28,6,3,1,3,2,2,0,0,0,1,1,59,11,1,1.6874991423105299,0.15654252891164772,2024-01-01 00:03:00,synthetic,likely_normal_synthetic,enhanced_adasyn,True,True
100,0,100,1,94,6,2,2,0,2,28,4,3,0,2,1,1,0,0,0,0,1,67,10,0,1.869564573580207,0.17285328885788895,2024-01-01 00:04:00,synthetic,likely_normal_synthetic,enhanced_adasyn,True,True
101,0,101,0,95,6,2,1,0,1,28,3,3,0,1,1,1,0,0,0,0,1,74,10,0,2.0,0.1841787917996402,2024-01-01 00:05:00,synthetic,likely_normal_synthetic,enhanced_adasyn,True,True
100,0,100,0,95,5,1,1,0,1,28,2,2,0,1,1,1,0,0,0,0,1,73,10,0,1.4514392475497362,0.18450489796840183,2024-01-01 00:06:00,synthetic,likely_normal_synthetic,enhanced_adasyn,True,True
98,2,98,0,94,4,0,0,0,0,28,1,0,0,0,0,0,0,0,0,0,0,71,11,0,0.020108779848553526,0.1844168217988053,2024-01-01 00:07:00,synthetic,likely_normal_synthetic,enhanced_adasyn,True,True
99,1,99,0,94,5,1,0,0,0,28,2,1,0,0,0,0,0,0,0,0,0,72,11,0,0.6466624886682335,0.18445537645264984,2024-01-01 00:08:00,synthetic,likely_normal_synthetic,enhanced_adasyn,True,True
98,1,98,2,93,5,2,4,1,3,28,6,3,1,3,2,2,0,0,0,1,1,58,11,1,1.662179438758577,0.1542742037075392,2024-01-01 00:09:00,synthetic,likely_normal_synthetic,enhanced_adasyn,True,True
102,0,102,2,97,4,3,3,0,3,28,4,3,1,3,3,1,0,0,0,1,2,64,14,0,1.6125673662494462,0.16528108998853178,2024-01-01 00:10:00,synthetic,likely_normal_synthetic,enhanced_adasyn,True,True
99,1,99,0,94,5,1,0,0,0,28,2,1,0,0,0,0,0,0,0,0,0,72,11,0,0.9205889693467386,0.18447223237496382,2024-01-01 00:11:00,synthetic,likely_normal_synthetic,enhanced_adasyn,True,True
101,0,101,0,95,6,2,1,0,1,28,3,3,0,1,1,1,0,0,0,0,1,71,10,0,1.9442416728518823,0.17954341246459246,2024-01-01 00:12:00,synthetic,likely_normal_synthetic,enhanced_adasyn,True,True
99,0,99,0,94,5,1,1,0,1,28,3,3,0,1,1,1,0,0,0,0,1,70,10,0,2.0,0.18087596733654487,2024-01-01 00:13:00,synthetic,likely_normal_synthetic,enhanced_adasyn,True,True
102,0,102,1,97,5,3,2,0,2,28,4,3,1,2,2,1,0,0,0,1,2,66,13,0,1.708129887362889,0.17003108042969167,2024-01-01 00:14:00,synthetic,likely_normal_synthetic,enhanced_adasyn,True,True
97,0,97,0,92,4,0,0,0,0,28,2,2,0,0,2,0,0,0,0,0,0,64,10,0,2.0,0.1753922215744045,2024-01-01 00:15:00,synthetic,likely_normal_synthetic,enhanced_adasyn,True,True
101,0,101,1,96,5,2,2,0,2,28,3,3,0,2,2,1,0,0,0,0,1,70,11,0,1.8656624770675503,0.17786132900988577,2024-01-01 00:16:00,synthetic,likely_normal_synthetic,enhanced_adasyn,True,True
101,0,101,0,95,6,2,1,0,1,28,3,3,0,1,1,1,0,0,0,0,1,72,10,0,1.954539923997414,0.1804660055188009,2024-01-01 00:17:00,synthetic,likely_normal_synthetic,enhanced_adasyn,True,True
99,0,99,0,93,5,1,1,0,1,28,3,3,0,1,1,1,0,0,0,0,1,71,11,0,2.0,0.17935217454720695,2024-01-01 00:18:00,synthetic,likely_normal_synthetic,enhanced_adasyn,True,True
101,0,101,0,95,6,2,1,0,1,28,3,3,0,1,1,1,0,0,0,0,1,72,11,0,1.9117493887409722,0.18015210563821962,2024-01-01 00:19:00,synthetic,likely_normal_synthetic,enhanced_adasyn,True,True
98,0,98,0,93,5,1,0,0,0,28,2,2,0,0,2,0,0,0,0,0,0,67,10,0,2.0,0.17812649523831367,2024-01-01 00:20:00,synthetic,likely_normal_synthetic,enhanced_adasyn,True,True
100,0,100,1,94,6,2,2,0,2,28,4,3,0,2,1,1,0,0,0,0,1,69,10,0,1.9011794590686004,0.17568558274439444,2024-01-01 00:21:00,synthetic,likely_normal_synthetic,enhanced_adasyn,True,True
101,0,101,0,95,6,2,1,0,1,28,3,3,0,1,1,1,0,0,0,0,1,71,11,0,1.8845184978496876,0.17879857844020522,2024-01-01 00:22:00,synthetic,likely_normal_synthetic,enhanced_adasyn,True,True
99,0,99,0,93,6,2,1,0,1,28,3,3,0,1,1,1,0,0,0,0,1,72,11,0,2.0,0.18083388805920786,2024-01-01 00:23:00,synthetic,likely_normal_synthetic,enhanced_adasyn,True,True
99,0,99,0,93,5,1,1,0,1,28,3,3,0,1,1,1,0,0,0,0,1,70,11,0,2.0,0.17903328728492118,2024-01-01 00:24:00,synthetic,likely_normal_synthetic,enhanced_adasyn,True,True
99,1,99,0,94,5,1,0,0,0,28,2,1,0,0,0,0,0,0,0,0,0,72,11,0,0.909364654101374,0.18447154169261237,2024-01-01 00:25:00,synthetic,likely_normal_synthetic,enhanced_adasyn,True,True
100,0,100,0,94,6,2,1,0,1,28,3,2,0,1,1,1,0,0,0,0,1,73,10,0,1.510531045530039,0.1845085341511969,2024-01-01 00:26:00,synthetic,likely_normal_synthetic,enhanced_adasyn,True,True
97,0,97,0,92,4,0,0,0,0,28,2,2,0,0,2,0,0,0,0,0,0,64,10,0,2.0,0.17517702340460037,2024-01-01 00:27:00,synthetic,likely_normal_synthetic,enhanced_adasyn,True,True
101,0,101,0,95,6,2,1,0,1,28,3,3,0,1,1,1,0,0,0,0,1,72,11,0,1.9450590151323994,0.1818077799037621,2024-01-01 00:28:00,synthetic,likely_normal_synthetic,enhanced_adasyn,True,True
101,0,101,0,95,6,2,1,0,1,28,3,3,0,1,1,1,0,0,0,0,1,73,10,0,1.9802662184628324,0.18355777432972542,2024-01-01 00:29:00,synthetic,likely_normal_synthetic,enhanced_adasyn,True,True
5,2,5,0,1,4,1,0,0,0,6,2,1,0,1,0,0,0,0,0,0,1,11,4,1,0.6027062694061975,0.49050404995682073,2024-01-01 00:30:00,synthetic,likely_normal_synthetic,enhanced_adasyn,True,True
5,3,5,0,0,5,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,8,8,0,0.0,0.3218542271851112,2024-01-01 00:31:00,synthetic,likely_normal_synthetic,enhanced_adasyn,True,True
5,2,5,0,2,3,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,11,4,0,0.0,0.48452701946678106,2024-01-01 00:32:00,synthetic,likely_normal_synthetic,enhanced_adasyn,True,True
6,2,6,0,1,5,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,13,1,1,0.0,0.3879251065639052,2024-01-01 00:33:00,synthetic,likely_normal_synthetic,enhanced_adasyn,True,True
5,2,5,0,1,4,1,0,0,0,6,2,1,0,1,0,0,0,0,0,0,1,11,3,1,0.6985802714527901,0.5257025472116887,2024-01-01 00:34:00,synthetic,likely_normal_synthetic,enhanced_adasyn,True,True
4,1,4,0,0,4,0,1,0,1,7,2,1,0,1,0,0,0,0,0,0,1,9,2,0,0.6174565803977604,0.4889028218722802,2024-01-01 00:35:00,synthetic,likely_normal_synthetic,enhanced_adasyn,True,True
5,2,5,0,1,4,1,0,0,0,6,2,1,0,1,0,0,0,0,0,0,1,10,4,1,0.5748052248722807,0.4802606594810821,2024-01-01 00:36:00,synthetic,likely_normal_synthetic,enhanced_adasyn,True,True
5,2,5,0,0,5,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,7,6,0,0.17953925219959277,0.33310531087870127,2024-01-01 00:37:00,synthetic,likely_normal_synthetic,enhanced_adasyn,True,True
5,3,5,0,0,5,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,9,4,0,0.0,0.32318568442331835,2024-01-01 00:38:00,synthetic,likely_normal_synthetic,enhanced_adasyn,True,True
6,3,6,0,0,6,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,10,7,0,0.0,0.30935152970904384,2024-01-01 00:39:00,synthetic,likely_normal_synthetic,enhanced_adasyn,True,True
5,2,5,0,3,2,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,15,1,0,0.0,0.6756420604793076,2024-01-01 00:40:00,synthetic,likely_normal_synthetic,enhanced_adasyn,True,True
5,3,5,0,0,5,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,8,6,0,0.0,0.29945019202408807,2024-01-01 00:41:00,synthetic,likely_normal_synthetic,enhanced_adasyn,True,True
5,2,5,0,1,4,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,10,4,0,0.0,0.4702954426521624,2024-01-01 00:42:00,synthetic,likely_normal_synthetic,enhanced_adasyn,True,True
8,2,8,0,1,7,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,16,3,1,0.0,0.37911069464949076,2024-01-01 00:43:00,synthetic,likely_normal_synthetic,enhanced_adasyn,True,True
7,2,7,0,1,6,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,14,4,1,0.0,0.36166976173677284,2024-01-01 00:44:00,synthetic,likely_normal_synthetic,enhanced_adasyn,True,True
6,2,6,0,1,5,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,13,1,1,0.0,0.3895141382324397,2024-01-01 00:45:00,synthetic,likely_normal_synthetic,enhanced_adasyn,True,True
