announcements,withdrawals,nlri_ann,dups,origin_0,origin_2,origin_changes,imp_wd,imp_wd_spath,imp_wd_dpath,as_path_max,unique_as_path_max,edit_distance_max,edit_distance_dict_0,edit_distance_dict_1,edit_distance_dict_2,edit_distance_dict_3,edit_distance_dict_4,edit_distance_dict_5,edit_distance_dict_6,edit_distance_unique_dict_0,edit_distance_unique_dict_1,number_rare_ases,nadas,flaps,edit_distance_avg,rare_ases_avg,timestamp,label,discovered_label,generation_method,log_transform_used,bgp_constraints_enforced
606,0,606,0,586,20,2,4,0,3,28,4,5,0,2,1,2,0,2,0,0,2,85,1,0,2.658000932682307,0.031224609876264884,2024-01-01 00:00:00,synthetic,likely_normal_synthetic,enhanced_borderline_smote,True,True
112,7,112,2,87,24,17,7,1,6,14,3,5,1,9,16,1,1,2,0,1,8,37,3,3,1.9174225596907064,0.06412566337663216,2024-01-01 00:01:00,synthetic,likely_normal_synthetic,enhanced_borderline_smote,True,True
12,2,12,2,7,5,2,3,1,2,7,4,2,3,2,1,0,0,0,0,1,1,6,5,0,0.7624209345064494,0.14132131746908233,2024-01-01 00:02:00,synthetic,likely_normal_synthetic,enhanced_borderline_smote,True,True
64,7,64,2,55,9,6,7,1,6,12,3,3,2,6,5,2,1,0,0,2,6,37,8,3,1.5086458446548348,0.10445249517178565,2024-01-01 00:03:00,synthetic,likely_normal_synthetic,enhanced_borderline_smote,True,True
23,2,23,3,16,7,3,3,1,2,13,4,3,2,5,2,3,0,0,0,2,4,20,1,1,1.6710080909399017,0.15803997045686094,2024-01-01 00:04:00,synthetic,likely_normal_synthetic,enhanced_borderline_smote,True,True
582,0,582,2,569,13,1,2,1,1,28,4,2,2,2,1,0,0,0,0,1,1,73,1,0,0.8172060818519105,0.028337270164887535,2024-01-01 00:05:00,synthetic,likely_normal_synthetic,enhanced_borderline_smote,True,True
607,1,607,1,585,22,3,5,1,4,28,4,5,1,1,2,3,0,1,0,1,1,82,2,0,2.486063439378249,0.03012978597609517,2024-01-01 00:06:00,synthetic,likely_normal_synthetic,enhanced_borderline_smote,True,True
24,1,24,4,14,10,2,3,0,3,9,4,3,4,3,3,0,0,0,0,2,2,21,2,1,1.1567144688711837,0.1754797599644859,2024-01-01 00:07:00,synthetic,likely_normal_synthetic,enhanced_borderline_smote,True,True
111,8,111,0,98,13,2,3,0,3,9,2,3,0,1,5,2,0,0,0,0,1,75,21,3,2.150284259995531,0.14593480036973489,2024-01-01 00:08:00,synthetic,likely_normal_synthetic,enhanced_borderline_smote,True,True
311,3,311,0,219,92,2,4,0,4,18,4,4,0,5,24,7,5,0,0,0,5,142,22,1,2.1939141169971146,0.09499390690568851,2024-01-01 00:09:00,synthetic,likely_normal_synthetic,enhanced_borderline_smote,True,True
21,0,21,0,14,6,0,3,0,3,6,2,2,0,0,4,0,0,0,0,0,0,4,4,0,1.9929030478568845,0.05339942841663603,2024-01-01 00:10:00,synthetic,likely_normal_synthetic,enhanced_borderline_smote,True,True
593,0,593,2,575,18,3,4,1,3,28,4,2,2,4,3,1,0,0,0,1,2,80,2,0,1.324077494281121,0.03027842324136295,2024-01-01 00:11:00,synthetic,likely_normal_synthetic,enhanced_borderline_smote,True,True
58,4,58,10,54,4,1,9,6,3,13,2,3,10,0,3,1,0,0,0,7,0,35,4,2,0.6001360564237802,0.13852165846711242,2024-01-01 00:12:00,synthetic,likely_normal_synthetic,enhanced_borderline_smote,True,True
16,0,16,2,11,5,2,2,0,2,7,4,3,1,1,4,1,0,0,0,1,1,20,0,0,1.792706053956735,0.2616819158287657,2024-01-01 00:13:00,synthetic,likely_normal_synthetic,enhanced_borderline_smote,True,True
118,2,118,1,92,26,4,7,0,6,13,5,8,0,5,4,5,0,1,0,0,3,81,5,1,2.4399498417907743,0.10464850117276618,2024-01-01 00:14:00,synthetic,likely_normal_synthetic,enhanced_borderline_smote,True,True
35,7,35,0,27,8,0,9,0,9,8,3,3,0,11,6,0,0,0,0,0,9,20,4,7,1.5054426458004104,0.1006691831302941,2024-01-01 00:15:00,synthetic,likely_normal_synthetic,enhanced_borderline_smote,True,True
16,2,16,0,8,8,2,2,0,2,8,3,3,0,2,3,1,0,0,0,0,2,14,2,1,1.8822851976601653,0.16948311005305775,2024-01-01 00:16:00,synthetic,likely_normal_synthetic,enhanced_borderline_smote,True,True
19,1,19,1,10,9,1,2,0,2,8,4,3,0,1,3,1,0,0,0,0,1,18,2,0,2.0,0.18697787932712642,2024-01-01 00:17:00,synthetic,likely_normal_synthetic,enhanced_borderline_smote,True,True
36,2,36,1,23,13,0,1,0,1,12,2,2,1,0,1,0,0,0,0,1,0,32,3,0,1.1614014632061396,0.17204378136594417,2024-01-01 00:18:00,synthetic,likely_normal_synthetic,enhanced_borderline_smote,True,True
46,9,46,2,23,23,3,2,0,2,11,4,5,1,2,2,0,0,2,0,1,1,42,8,6,2.2748356450903002,0.15601459359585554,2024-01-01 00:19:00,synthetic,likely_normal_synthetic,enhanced_borderline_smote,True,True
