announcements,withdrawals,nlri_ann,dups,origin_0,origin_2,origin_changes,imp_wd,imp_wd_spath,imp_wd_dpath,as_path_max,unique_as_path_max,edit_distance_max,edit_distance_dict_0,edit_distance_dict_1,edit_distance_dict_2,edit_distance_dict_3,edit_distance_dict_4,edit_distance_dict_5,edit_distance_dict_6,edit_distance_unique_dict_0,edit_distance_unique_dict_1,number_rare_ases,nadas,flaps,edit_distance_avg,rare_ases_avg,timestamp,label,discovered_label,generation_method,log_transform_used,bgp_constraints_enforced
582,0,582,2,566,15,1,2,2,0,28,2,2,2,0,1,0,0,0,0,2,0,90,2,0,0.5754542460540257,0.034274863527637346,2024-01-01 00:00:00,synthetic,likely_normal_synthetic,enhanced_kmeans_smote,True,True
374,12,374,0,360,14,1,0,0,0,27,3,4,0,0,2,1,1,0,0,0,0,103,10,1,2.662915369186404,0.053006635555804454,2024-01-01 00:01:00,synthetic,likely_normal_synthetic,enhanced_kmeans_smote,True,True
698,10,698,2,670,28,6,6,1,5,28,4,5,2,4,7,1,3,1,0,2,4,116,12,4,1.9303625293801319,0.037395548189293214,2024-01-01 00:02:00,synthetic,likely_normal_synthetic,enhanced_kmeans_smote,True,True
647,3,647,3,570,77,2,4,2,2,28,3,4,4,2,2,2,2,0,0,2,2,95,7,2,1.685618481897364,0.032014612728085944,2024-01-01 00:03:00,synthetic,likely_normal_synthetic,enhanced_kmeans_smote,True,True
600,1,600,0,587,13,0,0,0,0,28,1,2,0,0,0,0,0,0,0,0,0,96,9,0,2.2904952631082094,0.03641893117569404,2024-01-01 00:04:00,synthetic,likely_normal_synthetic,enhanced_kmeans_smote,True,True
568,2,568,5,552,16,2,11,0,11,28,3,6,1,14,2,0,1,1,1,1,9,73,10,1,1.633966974527261,0.029035180923567556,2024-01-01 00:05:00,synthetic,likely_normal_synthetic,enhanced_kmeans_smote,True,True
577,4,577,1,558,19,2,3,1,2,28,4,7,0,2,1,1,1,0,0,0,1,81,2,2,2.7677751135904387,0.030715349776958566,2024-01-01 00:06:00,synthetic,likely_normal_synthetic,enhanced_kmeans_smote,True,True
640,7,640,0,593,46,7,3,0,3,28,5,4,0,3,9,6,1,0,0,0,2,102,4,4,2.291549016022738,0.03508141312637664,2024-01-01 00:07:00,synthetic,likely_normal_synthetic,enhanced_kmeans_smote,True,True
525,1,525,0,511,14,0,1,0,1,28,3,3,0,0,1,1,0,0,0,0,0,80,1,0,2.545044488947623,0.03420583860741961,2024-01-01 00:08:00,synthetic,likely_normal_synthetic,enhanced_kmeans_smote,True,True
559,6,559,2,536,23,2,3,1,2,28,3,5,3,2,2,2,0,0,0,2,1,99,3,1,1.6555510593192453,0.04026712218819488,2024-01-01 00:09:00,synthetic,likely_normal_synthetic,enhanced_kmeans_smote,True,True
1119,5,1119,0,1096,23,3,2,0,2,14,4,4,0,1,5,1,1,0,0,0,1,207,70,3,2.111762680601543,0.03940312708041803,2024-01-01 00:10:00,synthetic,likely_normal_synthetic,enhanced_kmeans_smote,True,True
644,3,644,3,630,14,1,2,1,1,28,4,3,3,1,2,1,0,0,0,1,1,119,10,1,1.1696072866634841,0.04157397026295026,2024-01-01 00:11:00,synthetic,likely_normal_synthetic,enhanced_kmeans_smote,True,True
596,4,596,1,576,20,1,5,1,4,28,5,7,1,0,3,2,0,0,0,1,0,88,2,3,3.0260565674297957,0.03284586196043722,2024-01-01 00:12:00,synthetic,likely_normal_synthetic,enhanced_kmeans_smote,True,True
637,5,637,5,618,19,3,5,1,3,28,5,5,3,3,4,1,0,1,0,2,2,101,3,1,1.5777488411948457,0.03568005912608485,2024-01-01 00:13:00,synthetic,likely_normal_synthetic,enhanced_kmeans_smote,True,True
385,7,385,0,317,67,6,4,1,3,23,5,5,1,5,5,2,0,1,0,1,2,118,28,3,1.8547939062850753,0.0588236198618408,2024-01-01 00:14:00,synthetic,likely_normal_synthetic,enhanced_kmeans_smote,True,True
525,1,525,2,506,19,1,2,0,2,28,5,4,1,1,3,1,1,0,0,1,1,64,0,1,2.0879067519210364,0.02741130440294475,2024-01-01 00:15:00,synthetic,likely_normal_synthetic,enhanced_kmeans_smote,True,True
714,14,714,1,693,21,4,1,1,0,28,2,4,1,1,1,0,2,0,0,1,1,144,16,3,2.1855435024982146,0.04541167627336365,2024-01-01 00:16:00,synthetic,likely_normal_synthetic,enhanced_kmeans_smote,True,True
613,16,613,1,592,21,1,5,1,4,28,3,5,1,1,2,3,1,0,0,1,1,104,6,2,2.378247802923641,0.037481654385523804,2024-01-01 00:17:00,synthetic,likely_normal_synthetic,enhanced_kmeans_smote,True,True
683,0,683,0,664,19,0,1,0,1,28,2,4,0,0,1,0,1,0,0,0,0,119,11,0,2.9750827724718887,0.039669054126694886,2024-01-01 00:18:00,synthetic,likely_normal_synthetic,enhanced_kmeans_smote,True,True
545,3,545,2,523,22,3,2,1,1,28,2,3,2,3,3,1,0,0,0,2,3,77,0,1,1.363429224187889,0.031034535971667204,2024-01-01 00:19:00,synthetic,likely_normal_synthetic,enhanced_kmeans_smote,True,True
469,5,469,1,455,14,4,2,0,2,11,4,5,1,1,6,1,0,1,0,1,0,84,2,2,2.375128950038311,0.03607010146070965,2024-01-01 00:20:00,synthetic,likely_normal_synthetic,enhanced_kmeans_smote,True,True
597,2,597,1,574,23,2,5,1,4,28,3,2,1,4,4,0,0,0,0,1,3,80,5,2,1.361503900803986,0.0298465834873859,2024-01-01 00:21:00,synthetic,likely_normal_synthetic,enhanced_kmeans_smote,True,True
657,1,657,0,637,20,0,0,0,0,28,1,0,0,0,0,0,0,0,0,0,0,117,10,0,0.0,0.03995372647744136,2024-01-01 00:22:00,synthetic,likely_normal_synthetic,enhanced_kmeans_smote,True,True
655,5,655,1,642,13,2,2,0,2,28,3,3,0,1,2,2,0,0,0,0,1,109,17,2,2.20171982183544,0.038048107369747175,2024-01-01 00:23:00,synthetic,likely_normal_synthetic,enhanced_kmeans_smote,True,True
580,2,580,2,552,27,4,2,1,1,28,4,4,2,4,3,2,1,0,0,2,4,80,4,0,1.6936671757063844,0.030906404452880367,2024-01-01 00:24:00,synthetic,likely_normal_synthetic,enhanced_kmeans_smote,True,True
625,3,625,1,595,30,0,7,1,6,28,2,2,1,6,0,0,0,0,0,1,6,93,1,0,0.9165458464898689,0.03295828397537283,2024-01-01 00:25:00,synthetic,likely_normal_synthetic,enhanced_kmeans_smote,True,True
623,4,623,1,605,18,2,2,1,1,28,4,3,1,3,2,1,0,0,0,1,1,115,13,1,1.4372163683272279,0.04250449592254971,2024-01-01 00:26:00,synthetic,likely_normal_synthetic,enhanced_kmeans_smote,True,True
583,0,583,0,567,16,2,0,0,0,28,3,2,0,1,2,0,0,0,0,0,1,90,0,0,1.7131112590721385,0.034513302350179596,2024-01-01 00:27:00,synthetic,likely_normal_synthetic,enhanced_kmeans_smote,True,True
602,1,602,0,563,39,1,1,0,0,28,3,2,1,1,3,0,0,0,0,1,1,73,1,0,1.4340250241698878,0.02651460652301428,2024-01-01 00:28:00,synthetic,likely_normal_synthetic,enhanced_kmeans_smote,True,True
471,5,471,2,409,61,3,2,0,2,14,4,5,0,6,4,0,1,3,0,0,3,141,23,5,2.305774227803674,0.06576071706769807,2024-01-01 00:29:00,synthetic,likely_normal_synthetic,enhanced_kmeans_smote,True,True
698,9,698,1,669,29,6,6,0,6,28,4,5,1,5,7,1,3,1,0,1,5,117,12,8,2.2111373496337676,0.03798149741257311,2024-01-01 00:30:00,synthetic,likely_normal_synthetic,enhanced_kmeans_smote,True,True
579,2,579,3,566,13,1,2,0,2,28,3,4,2,2,0,1,0,1,0,1,1,80,1,1,1.6443658224556013,0.03088924497695385,2024-01-01 00:31:00,synthetic,likely_normal_synthetic,enhanced_kmeans_smote,True,True
561,4,561,2,537,24,2,3,1,2,28,3,3,2,2,3,3,0,0,0,2,1,102,2,1,1.708554226292466,0.04127666283986542,2024-01-01 00:32:00,synthetic,likely_normal_synthetic,enhanced_kmeans_smote,True,True
563,1,563,0,549,14,2,0,0,0,28,2,2,0,1,1,0,0,0,0,0,1,89,7,1,1.4814961826422537,0.034943687106125915,2024-01-01 00:33:00,synthetic,likely_normal_synthetic,enhanced_kmeans_smote,True,True
668,2,668,1,649,19,2,2,1,1,28,3,3,1,2,2,1,0,0,0,1,2,109,12,2,2.0136091807101324,0.03687244171240643,2024-01-01 00:34:00,synthetic,likely_normal_synthetic,enhanced_kmeans_smote,True,True
577,5,577,2,563,14,1,1,0,1,28,2,3,1,1,1,2,0,0,0,1,1,76,2,1,1.7693321550283063,0.029660070131116763,2024-01-01 00:35:00,synthetic,likely_normal_synthetic,enhanced_kmeans_smote,True,True
537,4,537,0,522,15,2,3,1,2,28,4,4,1,2,1,0,1,0,0,1,2,72,3,0,1.4874709066078733,0.03022595795243216,2024-01-01 00:36:00,synthetic,likely_normal_synthetic,enhanced_kmeans_smote,True,True
581,2,581,1,562,19,2,4,1,3,28,4,3,2,2,2,1,0,0,0,2,1,72,2,1,1.3406808583065781,0.02763046640483588,2024-01-01 00:37:00,synthetic,likely_normal_synthetic,enhanced_kmeans_smote,True,True
