announcements,withdrawals,nlri_ann,dups,origin_0,origin_2,origin_changes,imp_wd,imp_wd_spath,imp_wd_dpath,as_path_max,unique_as_path_max,edit_distance_max,edit_distance_dict_0,edit_distance_dict_1,edit_distance_dict_2,edit_distance_dict_3,edit_distance_dict_4,edit_distance_dict_5,edit_distance_dict_6,edit_distance_unique_dict_0,edit_distance_unique_dict_1,number_rare_ases,nadas,flaps,edit_distance_avg,rare_ases_avg,timestamp,label,discovered_label,generation_method,log_transform_used,bgp_constraints_enforced
22,7,22,2,13,9,0,3,2,1,8,3,2,2,1,1,0,0,0,0,2,1,21,1,2,0.7488189485765481,0.2189276757185281,2024-01-01 00:00:00,synthetic,likely_normal_synthetic,enhanced_smote,True,True
13,1,13,0,6,7,2,2,1,1,9,3,2,1,1,1,0,0,0,0,1,1,18,6,1,0.8929272314122823,0.32329610237522016,2024-01-01 00:01:00,synthetic,likely_normal_synthetic,enhanced_smote,True,True
629,1,629,0,612,17,1,1,0,1,28,2,2,0,0,2,0,0,0,0,0,0,108,7,1,1.9768154843450034,0.03875550566813134,2024-01-01 00:02:00,synthetic,likely_normal_synthetic,enhanced_smote,True,True
37,7,37,6,22,15,2,8,2,6,11,7,5,3,7,3,1,2,1,0,3,2,17,1,7,1.6655776921035148,0.08174919698827844,2024-01-01 00:03:00,synthetic,likely_normal_synthetic,enhanced_smote,True,True
15,3,15,0,8,7,1,0,0,0,11,2,2,0,0,2,0,0,0,0,0,0,22,1,3,1.8204583873220377,0.27219011448072095,2024-01-01 00:04:00,synthetic,likely_normal_synthetic,enhanced_smote,True,True
584,0,584,3,571,13,1,4,3,1,28,4,2,3,2,1,1,0,0,0,3,1,86,4,0,0.8357612699361339,0.03428303250618618,2024-01-01 00:05:00,synthetic,likely_normal_synthetic,enhanced_smote,True,True
15,1,15,0,9,6,2,3,0,3,7,4,4,0,2,1,1,1,0,0,0,1,20,0,1,2.1798290576890036,0.2510542862304121,2024-01-01 00:06:00,synthetic,likely_normal_synthetic,enhanced_smote,True,True
17,7,17,1,12,5,1,3,1,2,9,2,2,1,1,1,0,0,0,0,1,1,20,2,3,0.9316520052953188,0.24145650066191485,2024-01-01 00:07:00,synthetic,likely_normal_synthetic,enhanced_smote,True,True
112,18,112,2,85,27,19,8,0,8,12,4,7,0,11,17,7,3,3,0,0,9,39,8,6,2.324525944627352,0.06802142536536235,2024-01-01 00:08:00,synthetic,likely_normal_synthetic,enhanced_smote,True,True
114,1,114,0,104,9,2,7,1,6,28,4,5,1,4,3,0,1,1,0,1,3,73,14,0,1.8532401924490371,0.1629105718719291,2024-01-01 00:09:00,synthetic,likely_normal_synthetic,enhanced_smote,True,True
