Method,Synthetic Samples,Real Samples,Valid Features Compared,Constant in Both (Excluded),Constant in Synthetic Only (GAN Issue),Constant in Real Only,KS Excellent Features,KS Good or Better Features,Mean KS Statistic,Mean Wasserstein Distance,Weighted Wasserstein Distance,Correlation Similarity (Pearson),Correlation Similarity (Spearman),PCA Centroid Distance,Negligible Effect Features,Small Effect Features,Medium Effect Features,Large Effect Features,Distribution Score (Weighted),Distribution Score (Unweighted),Correlation Score,Effect Size Score (Weighted),Effect Size Score (Unweighted),Wasserstein Score (Weighted),Multivariate (PCA) Score,Overall Similarity Score (WEIGHTED),Overall Similarity Score (UNWEIGHTED),Weighting Impact
SCAPY,20382.0,20382.0,27.0,0.0,0.0,0.0,0.0,0.0,0.7598,0.3629,0.3671,0.4844,0.4241,5.2907,0.0,0.0,4.0,23.0,0.0,0.0,74.2,3.9,3.7,26.6,0.0,19.8,19.9,-0.1 points
GAN_LSTM_default,60000.0,60000.0,25.0,0.0,2.0,0.0,1.0,1.0,0.5509,0.5103,0.5121,0.2145,0.055,3.9555,3.0,4.0,8.0,10.0,3.8,4.0,60.7,31.2,32.0,0.0,0.0,20.7,20.9,-0.2 points
GAN_TimeGAN_default,60000.0,60000.0,27.0,0.0,0.0,0.0,2.0,12.0,0.1091,0.2129,0.2148,0.8524,0.7996,0.2413,27.0,0.0,0.0,0.0,43.4,44.4,92.6,100.0,100.0,57.0,92.0,79.2,79.4,-0.3 points
GAN_DoppelGanger_default,60000.0,60000.0,27.0,0.0,0.0,0.0,3.0,9.0,0.1372,0.1551,0.1534,0.9051,0.7803,1.0383,16.0,10.0,1.0,0.0,34.7,33.3,95.3,88.7,88.0,69.3,65.4,71.7,71.1,+0.5 points
GAN_LSTM_enhanced,60000.0,60000.0,27.0,0.0,0.0,0.0,5.0,13.0,0.1084,0.1267,0.1283,0.9173,0.8023,0.3392,25.0,2.0,0.0,0.0,47.9,48.1,95.9,97.8,98.1,74.3,88.7,82.1,82.3,-0.2 points
GAN_TimeGAN_enhanced,60000.0,60000.0,26.0,0.0,1.0,0.0,0.0,0.0,0.2964,0.4837,0.4811,0.5761,0.4682,1.4794,7.0,18.0,1.0,0.0,0.0,0.0,78.8,80.2,79.8,3.8,50.7,46.5,46.3,+0.2 points
GAN_DoppelGanger_enhanced,60000.0,60000.0,27.0,0.0,0.0,0.0,2.0,21.0,0.1003,0.1172,0.1159,0.9671,0.9226,0.4413,27.0,0.0,0.0,0.0,77.4,77.8,98.4,100.0,100.0,76.8,85.3,88.7,88.8,-0.0 points
SMOTE_normal,20000.0,20000.0,27.0,0.0,0.0,0.0,15.0,27.0,0.049,0.1078,0.1114,0.9794,0.9608,0.4188,27.0,0.0,0.0,0.0,100.0,100.0,99.0,100.0,100.0,77.7,86.0,93.7,93.8,-0.1 points
SMOTE_borderline,20000.0,20000.0,27.0,0.0,0.0,0.0,6.0,18.0,0.0866,0.1798,0.1809,0.8677,0.7764,0.6994,22.0,5.0,0.0,0.0,65.3,66.7,93.4,95.7,95.4,63.8,76.7,80.6,80.8,-0.2 points
SMOTE_kmeans,19994.0,19994.0,27.0,0.0,0.0,0.0,26.0,27.0,0.0257,0.0488,0.0491,0.996,0.9869,0.1507,27.0,0.0,0.0,0.0,100.0,100.0,99.8,100.0,100.0,90.2,95.0,97.5,97.5,-0.0 points
SMOTE_adasyn,20178.0,20178.0,27.0,0.0,0.0,0.0,15.0,27.0,0.049,0.1069,0.1105,0.9816,0.9633,0.4408,27.0,0.0,0.0,0.0,100.0,100.0,99.1,100.0,100.0,77.9,85.3,93.6,93.7,-0.1 points
Hybrid_SMOTE_GAN,20000.0,20000.0,27.0,0.0,0.0,0.0,3.0,8.0,0.1809,0.2224,0.2227,0.371,0.1775,1.9006,9.0,12.0,4.0,2.0,29.5,29.6,68.6,70.7,70.4,55.5,36.6,52.9,52.9,+0.0 points
Copula,60000.0,60000.0,27.0,0.0,0.0,0.0,3.0,23.0,0.0757,0.1907,0.1935,0.8248,0.6517,1.284,7.0,20.0,0.0,0.0,84.4,85.2,91.2,81.1,81.5,61.3,57.2,76.0,76.4,-0.3 points
