Method,Synthetic Samples,Real Samples,Valid Features Compared,Constant in Both (Excluded),Constant in Synthetic Only (GAN Issue),Constant in Real Only,KS Excellent Features,KS Good or Better Features,Mean KS Statistic,Mean Wasserstein Distance,Weighted Wasserstein Distance,Correlation Similarity (Pearson),Correlation Similarity (Spearman),PCA Centroid Distance,Negligible Effect Features,Small Effect Features,Medium Effect Features,Large Effect Features,Distribution Score (Weighted),Distribution Score (Unweighted),Correlation Score,Effect Size Score (Weighted),Effect Size Score (Unweighted),Wasserstein Score (Weighted),Multivariate (PCA) Score,Overall Similarity Score (WEIGHTED),Overall Similarity Score (UNWEIGHTED),Weighting Impact
SCAPY,8841.0,8841.0,16.0,2.0,9.0,0.0,0.0,0.0,0.5855,0.684,0.6903,0.2117,0.2905,2.5155,3.0,6.0,4.0,3.0,0.0,0.0,60.6,55.2,53.1,0.0,16.1,29.1,28.6,+0.5 points
GAN_LSTM_default,18798.0,18798.0,22.0,0.0,5.0,0.0,0.0,1.0,0.3573,0.6386,0.6456,0.3108,0.275,0.8474,13.0,8.0,1.0,0.0,4.3,4.5,65.5,87.7,87.5,0.0,71.8,50.2,50.2,-0.0 points
GAN_TimeGAN_default,18798.0,18798.0,24.0,0.0,3.0,0.0,2.0,2.0,0.4582,0.504,0.4987,0.3557,0.4094,0.9428,17.0,6.0,1.0,0.0,9.7,8.3,67.8,91.3,90.6,0.3,68.6,52.1,51.6,+0.5 points
GAN_DoppelGanger_default,18798.0,18798.0,25.0,0.0,2.0,0.0,0.0,2.0,0.2865,0.2973,0.2947,0.2419,0.2165,0.8731,20.0,4.0,1.0,0.0,9.3,8.0,62.1,93.5,93.0,41.1,70.9,58.0,57.5,+0.5 points
GAN_LSTM_enhanced,18798.0,18798.0,25.0,0.0,2.0,0.0,3.0,5.0,0.3724,0.3239,0.3246,0.4339,0.3036,2.3466,14.0,4.0,3.0,4.0,21.6,20.0,71.7,71.1,71.0,35.1,21.8,46.1,45.7,+0.3 points
GAN_TimeGAN_enhanced,18798.0,18798.0,22.0,0.0,5.0,0.0,1.0,2.0,0.4565,0.4648,0.461,0.57,0.3359,1.0367,13.0,8.0,1.0,0.0,10.5,9.1,78.5,87.9,87.5,7.8,65.4,54.0,53.5,+0.5 points
GAN_DoppelGanger_enhanced,18798.0,18798.0,24.0,0.0,3.0,0.0,2.0,6.0,0.2351,0.2076,0.2088,0.6816,0.4438,1.0303,16.0,6.0,2.0,0.0,25.2,25.0,84.1,87.9,87.5,58.2,65.7,65.7,65.6,+0.1 points
SMOTE_normal,18798.0,18798.0,25.0,0.0,2.0,0.0,3.0,6.0,0.1994,0.1874,0.1857,0.5962,0.4615,0.9871,18.0,5.0,2.0,0.0,25.4,24.0,79.8,89.7,89.0,62.9,67.1,66.3,65.8,+0.5 points
SMOTE_borderline,18798.0,18798.0,25.0,0.0,2.0,0.0,3.0,6.0,0.1886,0.4599,0.4571,0.652,0.5405,0.6278,22.0,2.0,1.0,0.0,25.4,24.0,82.6,94.9,95.0,8.6,79.1,62.4,62.1,+0.3 points
SMOTE_kmeans,18798.0,18798.0,25.0,0.0,2.0,0.0,3.0,6.0,0.2022,0.1707,0.1718,0.7168,0.6961,0.9209,19.0,5.0,1.0,0.0,25.4,24.0,85.8,92.5,92.0,65.6,69.3,69.1,68.7,+0.4 points
SMOTE_adasyn,18798.0,18798.0,25.0,0.0,2.0,0.0,3.0,6.0,0.1986,0.1857,0.1842,0.5866,0.4593,0.9706,17.0,6.0,2.0,0.0,25.4,24.0,79.3,88.3,88.0,63.2,67.6,66.0,65.6,+0.4 points
Hybrid_SMOTE_GAN,18798.0,18798.0,25.0,0.0,2.0,0.0,5.0,6.0,0.2121,0.3186,0.314,0.3754,0.1802,0.9362,19.0,5.0,1.0,0.0,25.4,24.0,68.8,92.5,92.0,37.2,68.8,61.3,60.8,+0.5 points
Copula,18798.0,18798.0,25.0,0.0,2.0,0.0,5.0,7.0,0.1787,0.2117,0.2138,0.7451,0.5151,0.9045,19.0,5.0,1.0,0.0,31.0,28.0,87.3,92.5,92.0,57.2,69.9,69.3,68.7,+0.7 points
