Method,Synthetic Samples,Real Samples,Valid Features Compared,Constant in Both (Excluded),Constant in Synthetic Only (GAN Issue),Constant in Real Only,KS Excellent Features,KS Good or Better Features,Mean KS Statistic,Mean Wasserstein Distance,Weighted Wasserstein Distance,Correlation Similarity (Pearson),Correlation Similarity (Spearman),PCA Centroid Distance,Negligible Effect Features,Small Effect Features,Medium Effect Features,Large Effect Features,Distribution Score (Weighted),Distribution Score (Unweighted),Correlation Score,Effect Size Score (Weighted),Effect Size Score (Unweighted),Wasserstein Score (Weighted),Multivariate (PCA) Score,Overall Similarity Score (WEIGHTED),Overall Similarity Score (UNWEIGHTED),Weighting Impact
SCAPY,8841.0,8841.0,16.0,2.0,9.0,0.0,0.0,0.0,0.5855,0.684,0.6903,0.2117,0.2905,2.5155,3.0,6.0,4.0,3.0,0.0,0.0,60.6,55.2,53.1,0.0,16.1,29.1,28.6,+0.5 points
GAN_LSTM_default,21439.0,21439.0,22.0,2.0,3.0,0.0,0.0,2.0,0.3407,0.5971,0.6057,0.2036,0.2154,1.0488,14.0,6.0,2.0,0.0,8.6,9.1,60.2,86.6,86.4,0.0,65.0,48.4,48.5,-0.0 points
GAN_TimeGAN_default,21439.0,21439.0,24.0,2.0,1.0,0.0,2.0,5.0,0.4282,0.4513,0.448,0.4548,0.4791,0.2483,24.0,0.0,0.0,0.0,21.3,20.8,72.7,100.0,100.0,10.4,91.7,63.7,63.5,+0.2 points
GAN_DoppelGanger_default,21439.0,21439.0,25.0,2.0,0.0,0.0,3.0,4.0,0.2146,0.2419,0.2389,0.3816,0.5215,0.4538,25.0,0.0,0.0,0.0,16.8,16.0,69.1,100.0,100.0,52.2,84.9,67.0,66.7,+0.2 points
GAN_LSTM_enhanced,21439.0,21439.0,25.0,2.0,0.0,0.0,5.0,10.0,0.3557,0.2884,0.2878,0.6255,0.2768,2.4776,13.0,3.0,5.0,4.0,40.3,40.0,81.3,66.0,66.0,42.4,17.4,50.7,50.6,+0.1 points
GAN_TimeGAN_enhanced,21439.0,21439.0,22.0,2.0,3.0,0.0,1.0,4.0,0.3697,0.433,0.4305,0.7126,0.5303,1.3421,8.0,13.0,1.0,0.0,18.9,18.2,85.6,82.7,81.8,13.9,55.3,54.7,54.3,+0.4 points
GAN_DoppelGanger_enhanced,21439.0,21439.0,24.0,2.0,1.0,0.0,4.0,7.0,0.1491,0.1494,0.1508,0.9051,0.7659,0.6253,19.0,5.0,0.0,0.0,29.1,29.2,95.3,94.7,94.8,69.8,79.2,74.8,74.9,-0.1 points
SMOTE_normal,20000.0,20000.0,25.0,2.0,0.0,0.0,15.0,25.0,0.0446,0.1264,0.1257,0.8359,0.7761,0.2823,25.0,0.0,0.0,0.0,100.0,100.0,91.8,100.0,100.0,74.9,90.6,92.7,92.7,+0.0 points
SMOTE_borderline,20000.0,20000.0,25.0,2.0,0.0,0.0,3.0,10.0,0.126,0.4235,0.4208,0.6014,0.6155,1.1245,16.0,7.0,2.0,0.0,40.3,40.0,80.1,87.4,87.0,15.8,62.5,60.8,60.6,+0.2 points
SMOTE_kmeans,19993.0,19993.0,25.0,2.0,0.0,0.0,23.0,25.0,0.0257,0.0745,0.0777,0.9698,0.9218,0.1361,25.0,0.0,0.0,0.0,100.0,100.0,98.5,100.0,100.0,84.5,95.5,96.5,96.6,-0.1 points
SMOTE_adasyn,19983.0,19983.0,25.0,2.0,0.0,0.0,14.0,25.0,0.0445,0.1266,0.1261,0.8304,0.7772,0.2695,25.0,0.0,0.0,0.0,100.0,100.0,91.5,100.0,100.0,74.8,91.0,92.7,92.7,+0.0 points
Hybrid_SMOTE_GAN,20000.0,20000.0,25.0,2.0,0.0,0.0,10.0,19.0,0.1177,0.2463,0.2425,0.4244,0.3135,0.2832,25.0,0.0,0.0,0.0,75.7,76.0,71.2,100.0,100.0,51.5,90.6,80.2,80.2,+0.1 points
Copula,20000.0,20000.0,25.0,2.0,0.0,0.0,23.0,25.0,0.0093,0.1327,0.1359,0.9699,0.8297,0.1891,25.0,0.0,0.0,0.0,100.0,100.0,98.5,100.0,100.0,72.8,93.7,94.4,94.5,-0.1 points
