Method,Mean KS Statistic,Mean Wasserstein Distance,Weighted Wasserstein Distance,PCA Centroid Distance,Correlation Similarity (Pearson),Correlation Similarity (Spearman),Distribution Score (Weighted),Distribution Score (Unweighted),Correlation Score,Effect Size Score (Weighted),Effect Size Score (Unweighted),Wasserstein Score (Weighted),KS Excellent Features,KS Good or Better Features,Negligible Effect Features,Average Rank
Copula,1.0,5.0,5.0,4.0,1.0,3.0,1.0,1.0,1.0,4.0,4.0,5.0,1.5,1.0,4.0,2.7666666666666666
SMOTE_kmeans,5.0,1.0,1.0,5.0,2.0,1.0,4.0,5.0,2.0,4.0,4.0,1.0,5.0,4.5,4.0,3.2333333333333334
SMOTE_borderline,2.0,9.0,9.0,1.0,4.0,2.0,4.0,5.0,4.0,1.0,1.0,9.0,5.0,4.5,1.0,4.1
SMOTE_normal,4.0,3.0,3.0,9.0,5.0,4.0,4.0,5.0,5.0,7.0,7.0,3.0,5.0,4.5,6.0,4.966666666666667
SMOTE_adasyn,3.0,2.0,2.0,8.0,6.0,5.0,4.0,5.0,6.0,8.0,8.0,2.0,5.0,4.5,7.5,5.066666666666666
Hybrid_SMOTE_GAN,6.0,7.0,7.0,6.0,9.0,13.0,4.0,5.0,9.0,4.0,4.0,7.0,1.5,4.5,4.0,6.066666666666666
GAN_DoppelGanger_enhanced,7.0,4.0,4.0,10.0,3.0,6.0,7.0,2.0,3.0,9.5,10.0,4.0,8.5,4.5,9.0,6.1
GAN_DoppelGanger_default,8.0,6.0,6.0,3.0,12.0,12.0,11.0,11.0,12.0,2.0,2.0,6.0,12.0,10.0,2.0,7.666666666666667
GAN_LSTM_enhanced,10.0,8.0,8.0,12.0,8.0,9.0,8.0,8.0,8.0,12.0,12.0,8.0,5.0,8.0,10.0,8.933333333333334
GAN_TimeGAN_default,12.0,11.0,11.0,7.0,10.0,7.0,10.0,10.0,10.0,6.0,6.0,11.0,8.5,10.0,7.5,9.133333333333333
GAN_TimeGAN_enhanced,11.0,10.0,10.0,11.0,7.0,8.0,9.0,9.0,7.0,9.5,10.0,10.0,10.0,10.0,11.5,9.533333333333333
GAN_LSTM_default,9.0,12.0,12.0,2.0,11.0,11.0,12.0,12.0,11.0,11.0,10.0,12.5,12.0,12.0,11.5,10.733333333333333
SCAPY,13.0,13.0,13.0,13.0,13.0,10.0,13.0,13.0,13.0,13.0,13.0,12.5,12.0,13.0,13.0,12.7
