announcements,withdrawals,nlri_ann,dups,origin_0,origin_2,origin_changes,imp_wd,imp_wd_spath,imp_wd_dpath,as_path_max,unique_as_path_max,edit_distance_avg,edit_distance_max,edit_distance_dict_0,edit_distance_dict_1,edit_distance_dict_2,edit_distance_dict_3,edit_distance_dict_4,edit_distance_dict_5,edit_distance_dict_6,edit_distance_unique_dict_0,edit_distance_unique_dict_1,number_rare_ases,rare_ases_avg,nadas,flaps,label
1321,7,1241,0,2,1,0,0,0,1,12,2,2.5094344800097748,1,0,14,0,0,0,0,0,0,22,37,0.04180748794848285,0,0,anomaly
420,4,350,0,0,1,0,84,13,71,9,1,2.1932450886562607,1,0,11,0,0,0,0,0,0,0,80,0.024607910823159763,2,2,anomaly
175,3,51,0,0,1,0,41,2,40,23,4,0.42419832689859915,5,0,0,3,3,0,0,0,0,21,1,0.022443572632611947,1,0,anomaly
4184,25,3727,0,17,1,0,33,1,33,23,4,0.3337812226414576,5,0,18,7,0,0,0,0,0,18,71,0.05673467145828543,0,0,anomaly
185,3,123,0,0,1,0,30,0,30,27,5,8.55384369739657,5,0,0,0,0,0,0,0,0,0,64,0.05108371046691531,1,0,anomaly
238,4,175,0,0,1,0,0,0,1,15,2,1.6789470919047627,1,0,2,0,0,0,0,0,0,10,1,0.043992864029800495,0,0,anomaly
1268,15,1209,0,2,1,0,25,0,25,18,3,0.0,2,0,0,0,0,0,0,0,0,12,18,0.03299320320526486,9,0,anomaly
191,22,41,0,0,1,0,0,0,1,12,5,4.2666103459941676,11,0,22,9,0,0,0,0,0,0,91,0.026916666959034486,4,0,anomaly
327,11,281,0,0,1,0,6,0,6,10,6,2.340371317023837,8,0,6,10,3,4,2,1,0,13,66,0.010351683554233916,0,0,anomaly
385,20,338,0,0,1,0,19,1,17,11,3,0.7650625673064206,2,0,29,0,0,0,0,0,0,5,15,0.08726895208408111,0,0,anomaly
1714,44,1567,0,4,1,0,0,0,0,9,5,0.0,2,0,0,0,0,0,0,0,0,1,54,0.02904895341333531,0,0,anomaly
