,syn_count,real_count,syn_mean,real_mean,syn_std,real_std,syn_min,real_min,syn_25%,real_25%,syn_50%,real_50%,syn_75%,real_75%,syn_max,real_max
announcements,20000.0,20000.0,165.9501,193.2666,245.21213562864907,213.8002194833592,0.0,12.0,13.0,85.0,56.0,127.0,175.0,212.0,1763.0,2111.0
withdrawals,20000.0,20000.0,11.84945,19.2937,37.775517656072026,39.5135534513832,0.0,0.0,1.0,5.0,3.0,9.0,9.0,17.0,744.0,500.0
nlri_ann,20000.0,20000.0,165.95725,193.2666,245.21844878968395,213.8002194833592,0.0,12.0,13.0,85.0,56.0,127.0,175.0,212.0,1765.0,2111.0
dups,20000.0,20000.0,5.63365,11.452,14.127109273957,12.637491100256629,0.0,0.0,0.0,4.0,0.0,8.0,6.0,15.0,235.0,191.0
origin_0,20000.0,20000.0,130.2604,184.6961,216.5860232496856,200.66240807607872,0.0,8.0,6.0,82.0,35.0,122.0,119.0,204.0,1548.0,1961.0
origin_2,20000.0,20000.0,35.7294,7.8714,78.3340672181928,19.090046713776704,0.0,0.0,0.0,0.0,9.0,2.0,35.0,6.0,1046.0,252.0
origin_changes,20000.0,20000.0,6.14325,1.2437,12.455403899184265,2.654894109590184,0.0,0.0,0.0,0.0,1.0,1.0,8.0,1.0,391.0,52.0
imp_wd,20000.0,20000.0,9.67835,21.06925,19.184428409315966,17.28238954794517,0.0,0.0,0.0,11.0,1.0,17.0,12.0,26.0,309.0,232.0
imp_wd_spath,20000.0,20000.0,4.00855,6.06395,12.542872202157445,6.650358769351324,0.0,0.0,0.0,2.0,0.0,4.0,3.0,8.0,359.0,102.0
imp_wd_dpath,20000.0,20000.0,7.00255,15.0053,13.353020581704829,14.647409301305196,0.0,0.0,0.0,7.0,1.0,11.0,9.0,18.0,256.0,228.0
as_path_max,20000.0,20000.0,13.61505,12.7343,7.243727429773559,3.246156248013845,0.0,6.0,8.0,11.0,11.0,12.0,18.0,14.0,31.0,43.0
unique_as_path_max,20000.0,20000.0,3.21715,9.2736,1.4335266399447804,3.512158852186238,0.0,2.0,2.0,7.0,3.0,9.0,4.0,11.0,9.0,31.0
edit_distance_avg,20000.0,20000.0,1.3646,2.1074799173034022,0.9695431092489054,0.47028673392391096,0.0,0.465648854961832,1.0,1.803030303030303,1.0,2.0789473684210527,2.0,2.380303292145511,8.0,5.487179487179487
edit_distance_max,20000.0,20000.0,3.97505,7.0049,2.631154432218358,2.4087685854612344,0.0,2.0,2.0,6.0,4.0,7.0,5.0,8.0,21.0,38.0
edit_distance_dict_0,20000.0,20000.0,5.302,8.73795,14.762137109328098,9.190821691104006,0.0,0.0,0.0,3.0,0.0,6.0,4.0,11.0,363.0,117.0
edit_distance_dict_1,20000.0,20000.0,6.8943,25.7451,14.425114616757307,29.496440937702967,0.0,0.0,0.0,11.0,0.0,18.0,9.0,29.0,573.0,494.0
edit_distance_dict_2,20000.0,20000.0,11.3349,20.3782,29.675004166530698,17.631233870049737,0.0,0.0,0.0,9.0,0.0,16.0,11.0,26.0,561.0,230.0
edit_distance_dict_3,20000.0,20000.0,4.104,13.70265,9.585315744089794,12.1026301546537,0.0,0.0,0.0,6.0,0.0,11.0,4.0,17.0,203.0,207.0
edit_distance_dict_4,20000.0,20000.0,1.7361,4.96735,6.284539089032551,5.650600007213577,0.0,0.0,0.0,2.0,0.0,3.0,0.0,6.0,302.0,109.0
edit_distance_dict_5,20000.0,20000.0,0.57055,2.4179,2.4135272845355735,3.2561003822801555,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,48.0,73.0
edit_distance_dict_6,20000.0,20000.0,0.1964,1.4613,0.9967330203397957,2.4314806013817476,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,27.0,58.0
edit_distance_unique_dict_0,20000.0,20000.0,3.78295,5.80595,10.117675507021525,5.545235078795485,0.0,0.0,0.0,3.0,0.0,4.0,3.0,7.0,206.0,103.0
edit_distance_unique_dict_1,20000.0,20000.0,5.27035,16.3474,10.917001416299998,21.03142718139842,0.0,0.0,0.0,7.0,1.0,11.0,7.0,18.0,758.0,332.0
number_rare_ases,20000.0,20000.0,43.3067,46.5803,34.27361476622297,49.74607306611523,0.0,5.0,18.0,23.0,32.0,31.0,61.0,47.0,313.0,545.0
nadas,20000.0,20000.0,17.25755,9.19255,37.626001698262996,12.065345130793245,0.0,0.0,0.0,2.0,3.0,6.0,18.25,12.0,901.0,250.0
flaps,20000.0,20000.0,5.4052,5.75345,19.535877136304226,8.722744259169275,0.0,0.0,0.0,2.0,0.0,4.0,3.0,6.0,277.0,175.0
