feature,ks_statistic,wasserstein_distance,similarity_level,importance_weight,mw_statistic,adjusted_p_value,cohens_d,interpretation,capped,synthetic_mean,real_mean,abs_diff,pct_diff
unique_as_path_max,0.8125,0.19399656168617166,Poor,1.0,12377144.5,0.0,-2.257869501569796,Large,False,3.21715,9.2736,6.05645,65.30851017943408
edit_distance_dict_3,0.66605,0.25713145038468255,Poor,1.0,58874203.0,0.0,-0.8792569570234237,Large,False,4.104,13.70265,9.59865,70.04958894812316
edit_distance_dict_4,0.65165,0.357599394688381,Poor,1.0,69647229.5,0.0,-0.5407061500505882,Medium,False,1.7361,4.96735,3.2312499999999997,65.04977503095212
edit_distance_dict_1,0.61845,0.13677870784333424,Poor,1.0,58019077.5,0.0,-0.8119147564610446,Large,False,6.8943,25.7451,18.8508,73.22092359322745
edit_distance_dict_2,0.6066,0.30661671889098674,Poor,1.0,81091681.0,0.0,-0.3705109590704923,Small,False,11.3349,20.3782,9.0433,44.37732478825412
edit_distance_unique_dict_1,0.60385,0.1927403532135654,Poor,1.0,68590014.0,0.0,-0.6610944610289776,Medium,False,5.27035,16.3474,11.07705,67.76031662527375
edit_distance_avg,0.5954499999999999,0.2702890508405008,Poor,1.0,90086199.0,0.0,-0.9749519149129485,Large,False,1.3646,2.1074799173034022,0.7428799173034022,35.249679543990354
edit_distance_max,0.582,0.11586943240780063,Poor,1.0,62710982.0,0.0,-1.2011710206399835,Large,False,3.97505,7.0049,3.02985,43.253294122685546
imp_wd_spath,0.5771999999999999,0.2861509365845635,Poor,1.0,87737624.0,0.0,-0.2047476675930542,Small,False,4.00855,6.06395,2.0554000000000006,33.89539821403542
imp_wd,0.5747,0.20281654981744165,Poor,1.0,78417418.5,0.0,-0.623878797817953,Medium,False,9.67835,21.06925,11.3909,54.064098152520856
edit_distance_dict_5,0.5723,0.41535200884992185,Poor,1.0,82582771.5,0.0,-0.6445862546606409,Medium,False,0.57055,2.4179,1.84735,76.40307705033294
edit_distance_dict_0,0.5495,0.2626063071591478,Poor,1.0,86811090.0,0.0,-0.27943239918946994,Small,False,5.302,8.73795,3.43595,39.322152221058715
dups,0.5481999999999999,0.22482563408715572,Poor,1.0,84889671.0,0.0,-0.43410768526933313,Small,False,5.63365,11.452,5.81835,50.806409360810335
edit_distance_unique_dict_0,0.54275,0.28018392879297227,Poor,1.0,91600955.5,0.0,-0.2479671420337466,Small,False,3.78295,5.80595,2.023,34.843565652477196
flaps,0.5386,0.21973302638067863,Poor,1.5,93306770.0,0.0,-0.023019624016434294,Negligible,False,5.4052,5.75345,0.34825000000000017,6.052890005127361
imp_wd_dpath,0.53395,0.16811510113964745,Poor,1.0,85851457.5,0.0,-0.5710064355176643,Medium,False,7.00255,15.0053,8.002749999999999,53.33282240275102
origin_0,0.51565,0.21861443774100753,Poor,1.0,102794937.5,0.0,-0.2607372389149312,Small,False,130.2604,184.6961,54.4357,29.47311827374806
edit_distance_dict_6,0.5,0.3772525344948405,Poor,1.0,98745937.5,0.0,-0.6807243389786196,Medium,False,0.1964,1.4613,1.2649000000000001,86.55991240676111
announcements,0.43055,0.2363899734073891,Poor,1.5,126181273.0,0.0,-0.11874521265049416,Negligible,False,165.9501,193.2666,27.31650000000002,14.13410284032524
nlri_ann,0.4303,0.2363716514090512,Poor,1.0,126195218.5,0.0,-0.11871239514054609,Negligible,False,165.95725,193.2666,27.309350000000023,14.130403287479588
withdrawals,0.35919999999999996,0.11858968123711201,Poor,1.5,114344860.0,0.0,-0.19258527445085813,Negligible,False,11.84945,19.2937,7.444250000000002,38.58383824771818
nadas,0.34365,0.17502452848302175,Poor,1.3,168862931.0,5.0118151481326257e-163,0.2886541336913209,Small,False,17.25755,9.19255,8.064999999999998,87.73408901773716
origin_2,0.32924999999999993,0.10804326740691891,Poor,1.0,248186382.5,0.0,0.4886369903944942,Small,False,35.7294,7.8714,27.857999999999997,353.9141702873694
as_path_max,0.27955,0.2683705123631426,Poor,1.0,176580022.0,4.863116122801395e-92,0.1569155384165973,Negligible,False,13.61505,12.7343,0.8807500000000008,6.9163597527936425
origin_changes,0.27864999999999995,0.12621604537586137,Poor,1.0,236601218.5,3.8774804285821276e-250,0.5440829470075393,Medium,False,6.14325,1.2437,4.89955,393.94950550775906
number_rare_ases,0.1624,0.34509240726890855,Poor,1.0,188854226.5,4.7343768065790455e-22,-0.07663597817623201,Negligible,False,43.3067,46.5803,3.273600000000002,7.027863710624452
