feature,cohens_d,abs_d,interpretation,capped,importance_weight
unique_as_path_max,-2.257869501569796,2.257869501569796,Large,False,1.0
edit_distance_max,-1.2011710206399835,1.2011710206399835,Large,False,1.0
edit_distance_avg,-0.9749519149129485,0.9749519149129485,Large,False,1.0
edit_distance_dict_3,-0.8792569570234237,0.8792569570234237,Large,False,1.0
edit_distance_dict_1,-0.8119147564610446,0.8119147564610446,Large,False,1.0
edit_distance_dict_6,-0.6807243389786196,0.6807243389786196,Medium,False,1.0
edit_distance_unique_dict_1,-0.6610944610289776,0.6610944610289776,Medium,False,1.0
edit_distance_dict_5,-0.6445862546606409,0.6445862546606409,Medium,False,1.0
imp_wd,-0.623878797817953,0.623878797817953,Medium,False,1.0
imp_wd_dpath,-0.5710064355176643,0.5710064355176643,Medium,False,1.0
origin_changes,0.5440829470075393,0.5440829470075393,Medium,False,1.0
edit_distance_dict_4,-0.5407061500505882,0.5407061500505882,Medium,False,1.0
origin_2,0.4886369903944942,0.4886369903944942,Small,False,1.0
dups,-0.43410768526933313,0.43410768526933313,Small,False,1.0
edit_distance_dict_2,-0.3705109590704923,0.3705109590704923,Small,False,1.0
nadas,0.2886541336913209,0.2886541336913209,Small,False,1.3
edit_distance_dict_0,-0.27943239918946994,0.27943239918946994,Small,False,1.0
origin_0,-0.2607372389149312,0.2607372389149312,Small,False,1.0
edit_distance_unique_dict_0,-0.2479671420337466,0.2479671420337466,Small,False,1.0
imp_wd_spath,-0.2047476675930542,0.2047476675930542,Small,False,1.0
withdrawals,-0.19258527445085813,0.19258527445085813,Negligible,False,1.5
as_path_max,0.1569155384165973,0.1569155384165973,Negligible,False,1.0
announcements,-0.11874521265049416,0.11874521265049416,Negligible,False,1.5
nlri_ann,-0.11871239514054609,0.11871239514054609,Negligible,False,1.0
number_rare_ases,-0.07663597817623201,0.07663597817623201,Negligible,False,1.0
flaps,-0.023019624016434294,0.023019624016434294,Negligible,False,1.5
