feature,ks_statistic,ks_pvalue,wasserstein_distance,similarity_level,similar_by_threshold,importance_weight,adjusted_pvalue,similar_by_adjusted_pvalue
unique_as_path_max,0.8125,0.0,0.19399656168617166,Poor,False,1.0,0.0,False
edit_distance_dict_3,0.66605,0.0,0.25713145038468255,Poor,False,1.0,0.0,False
edit_distance_dict_4,0.65165,0.0,0.357599394688381,Poor,False,1.0,0.0,False
edit_distance_dict_1,0.61845,0.0,0.13677870784333424,Poor,False,1.0,0.0,False
edit_distance_dict_2,0.6066,0.0,0.30661671889098674,Poor,False,1.0,0.0,False
edit_distance_unique_dict_1,0.60385,0.0,0.1927403532135654,Poor,False,1.0,0.0,False
edit_distance_avg,0.5954499999999999,0.0,0.2702890508405008,Poor,False,1.0,0.0,False
edit_distance_max,0.582,0.0,0.11586943240780063,Poor,False,1.0,0.0,False
imp_wd_spath,0.5771999999999999,0.0,0.2861509365845635,Poor,False,1.0,0.0,False
imp_wd,0.5747,0.0,0.20281654981744165,Poor,False,1.0,0.0,False
edit_distance_dict_5,0.5723,0.0,0.41535200884992185,Poor,False,1.0,0.0,False
edit_distance_dict_0,0.5495,0.0,0.2626063071591478,Poor,False,1.0,0.0,False
dups,0.5481999999999999,0.0,0.22482563408715572,Poor,False,1.0,0.0,False
edit_distance_unique_dict_0,0.54275,0.0,0.28018392879297227,Poor,False,1.0,0.0,False
flaps,0.5386,0.0,0.21973302638067863,Poor,False,1.5,0.0,False
imp_wd_dpath,0.53395,0.0,0.16811510113964745,Poor,False,1.0,0.0,False
origin_0,0.51565,0.0,0.21861443774100753,Poor,False,1.0,0.0,False
edit_distance_dict_6,0.5,0.0,0.3772525344948405,Poor,False,1.0,0.0,False
announcements,0.43055,0.0,0.2363899734073891,Poor,False,1.5,0.0,False
nlri_ann,0.4303,0.0,0.2363716514090512,Poor,False,1.0,0.0,False
withdrawals,0.35919999999999996,0.0,0.11858968123711201,Poor,False,1.5,0.0,False
nadas,0.34365,0.0,0.17502452848302175,Poor,False,1.3,0.0,False
origin_2,0.32924999999999993,0.0,0.10804326740691891,Poor,False,1.0,0.0,False
as_path_max,0.27955,0.0,0.2683705123631426,Poor,False,1.0,0.0,False
origin_changes,0.27864999999999995,0.0,0.12621604537586137,Poor,False,1.0,0.0,False
number_rare_ases,0.1624,6.567186780501443e-231,0.34509240726890855,Poor,False,1.0,6.567186780501443e-231,False
