,synthetic_mean,real_mean,abs_diff,pct_diff
origin_changes,6.14325,1.2437,4.89955,393.94950550775906
origin_2,35.7294,7.8714,27.857999999999997,353.9141702873694
nadas,17.25755,9.19255,8.064999999999998,87.73408901773716
edit_distance_dict_6,0.1964,1.4613,1.2649000000000001,86.55991240676111
edit_distance_dict_5,0.57055,2.4179,1.84735,76.40307705033294
edit_distance_dict_1,6.8943,25.7451,18.8508,73.22092359322745
edit_distance_dict_3,4.104,13.70265,9.59865,70.04958894812316
edit_distance_unique_dict_1,5.27035,16.3474,11.07705,67.76031662527375
unique_as_path_max,3.21715,9.2736,6.05645,65.30851017943408
edit_distance_dict_4,1.7361,4.96735,3.2312499999999997,65.04977503095212
imp_wd,9.67835,21.06925,11.3909,54.064098152520856
imp_wd_dpath,7.00255,15.0053,8.002749999999999,53.33282240275102
dups,5.63365,11.452,5.81835,50.806409360810335
edit_distance_dict_2,11.3349,20.3782,9.0433,44.37732478825412
edit_distance_max,3.97505,7.0049,3.02985,43.253294122685546
edit_distance_dict_0,5.302,8.73795,3.43595,39.322152221058715
withdrawals,11.84945,19.2937,7.444250000000002,38.58383824771818
edit_distance_avg,1.3646,2.1074799173034022,0.7428799173034022,35.249679543990354
edit_distance_unique_dict_0,3.78295,5.80595,2.023,34.843565652477196
imp_wd_spath,4.00855,6.06395,2.0554000000000006,33.89539821403542
origin_0,130.2604,184.6961,54.4357,29.47311827374806
announcements,165.9501,193.2666,27.31650000000002,14.13410284032524
nlri_ann,165.95725,193.2666,27.309350000000023,14.130403287479588
number_rare_ases,43.3067,46.5803,3.273600000000002,7.027863710624452
as_path_max,13.61505,12.7343,0.8807500000000008,6.9163597527936425
flaps,5.4052,5.75345,0.34825000000000017,6.052890005127361
