feature,mw_statistic,p_value,importance_weight,adjusted_p_value,similar
announcements,126181273.0,0.0,1.5,0.0,False
withdrawals,114344860.0,0.0,1.5,0.0,False
nlri_ann,126195218.5,0.0,1.0,0.0,False
dups,84889671.0,0.0,1.0,0.0,False
origin_0,102794937.5,0.0,1.0,0.0,False
origin_2,248186382.5,0.0,1.0,0.0,False
imp_wd,78417418.5,0.0,1.0,0.0,False
imp_wd_spath,87737624.0,0.0,1.0,0.0,False
edit_distance_dict_0,86811090.0,0.0,1.0,0.0,False
imp_wd_dpath,85851457.5,0.0,1.0,0.0,False
unique_as_path_max,12377144.5,0.0,1.0,0.0,False
edit_distance_avg,90086199.0,0.0,1.0,0.0,False
edit_distance_dict_1,58019077.5,0.0,1.0,0.0,False
edit_distance_max,62710982.0,0.0,1.0,0.0,False
edit_distance_dict_3,58874203.0,0.0,1.0,0.0,False
edit_distance_dict_2,81091681.0,0.0,1.0,0.0,False
edit_distance_dict_6,98745937.5,0.0,1.0,0.0,False
edit_distance_unique_dict_0,91600955.5,0.0,1.0,0.0,False
edit_distance_dict_4,69647229.5,0.0,1.0,0.0,False
edit_distance_dict_5,82582771.5,0.0,1.0,0.0,False
edit_distance_unique_dict_1,68590014.0,0.0,1.0,0.0,False
flaps,93306770.0,0.0,1.5,0.0,False
origin_changes,236601218.5,3.430078840668805e-250,1.0,3.8774804285821276e-250,False
nadas,168862931.0,4.626290905968578e-163,1.3,5.0118151481326257e-163,False
as_path_max,176580022.0,4.6760731950013415e-92,1.0,4.863116122801395e-92,False
number_rare_ases,188854226.5,4.7343768065790455e-22,1.0,4.7343768065790455e-22,False
