feature,ks_statistic,wasserstein_distance,similarity_level,importance_weight,cohens_d,abs_d,interpretation,ks_weighted,effect_weighted,composite_score
unique_as_path_max,0.8125,0.19399656168617166,Poor,1.0,-2.257869501569796,2.257869501569796,Large,0.8125,2.257869501569796,1.535184750784898
edit_distance_max,0.582,0.11586943240780063,Poor,1.0,-1.2011710206399835,1.2011710206399835,Large,0.582,1.2011710206399835,0.8915855103199917
edit_distance_avg,0.5954499999999999,0.2702890508405008,Poor,1.0,-0.9749519149129485,0.9749519149129485,Large,0.5954499999999999,0.9749519149129485,0.7852009574564742
edit_distance_dict_3,0.66605,0.25713145038468255,Poor,1.0,-0.8792569570234237,0.8792569570234237,Large,0.66605,0.8792569570234237,0.7726534785117118
edit_distance_dict_1,0.61845,0.13677870784333424,Poor,1.0,-0.8119147564610446,0.8119147564610446,Large,0.61845,0.8119147564610446,0.7151823782305223
edit_distance_unique_dict_1,0.60385,0.1927403532135654,Poor,1.0,-0.6610944610289776,0.6610944610289776,Medium,0.60385,0.6610944610289776,0.6324722305144888
edit_distance_dict_5,0.5723,0.41535200884992185,Poor,1.0,-0.6445862546606409,0.6445862546606409,Medium,0.5723,0.6445862546606409,0.6084431273303205
imp_wd,0.5747,0.20281654981744165,Poor,1.0,-0.623878797817953,0.623878797817953,Medium,0.5747,0.623878797817953,0.5992893989089765
edit_distance_dict_4,0.65165,0.357599394688381,Poor,1.0,-0.5407061500505882,0.5407061500505882,Medium,0.65165,0.5407061500505882,0.5961780750252941
edit_distance_dict_6,0.5,0.3772525344948405,Poor,1.0,-0.6807243389786196,0.6807243389786196,Medium,0.5,0.6807243389786196,0.5903621694893098
