,syn_count,real_count,syn_mean,real_mean,syn_std,real_std,syn_min,real_min,syn_25%,real_25%,syn_50%,real_50%,syn_75%,real_75%,syn_max,real_max
announcements,20000.0,20000.0,180.62815,109.0475,291.02466741743694,170.80363502524438,0.0,1.0,11.0,21.0,51.0,44.0,181.0,101.0,1810.0,1379.0
withdrawals,20000.0,20000.0,15.16575,5.8654,53.88634301783423,12.75554851979726,0.0,0.0,1.0,1.0,3.0,2.0,9.0,7.0,509.0,239.0
nlri_ann,20000.0,20000.0,180.62815,109.0475,291.02466741743694,170.80363502524438,0.0,1.0,11.0,21.0,51.0,44.0,181.0,101.0,1810.0,1379.0
dups,20000.0,20000.0,6.77935,2.168,22.17089851617545,3.993654149231401,0.0,0.0,0.0,0.0,1.0,1.0,4.0,2.0,209.0,46.0
origin_0,20000.0,20000.0,133.18185,89.6773,237.59542558704808,164.69851227229478,0.0,0.0,1.0,11.0,27.0,26.0,113.0,74.0,1352.0,1333.0
origin_2,20000.0,20000.0,45.574,19.25435,115.86209011232388,27.444334855362822,0.0,0.0,3.0,6.0,11.0,11.0,34.0,22.0,1022.0,454.0
origin_changes,20000.0,20000.0,6.396,3.1908,13.975959729926192,4.852202855778773,0.0,0.0,1.0,1.0,2.0,2.0,5.0,4.0,123.0,70.0
imp_wd,20000.0,20000.0,12.2629,4.62365,32.049390661322846,5.427852591650572,0.0,0.0,0.0,1.0,4.0,3.0,9.0,6.0,279.0,80.0
imp_wd_spath,20000.0,20000.0,6.85075,1.18555,22.15302490097262,2.692040778234532,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,212.0,39.0
imp_wd_dpath,20000.0,20000.0,9.70805,3.4381,16.28750377855572,4.5239796318712004,0.0,0.0,4.0,1.0,6.0,2.0,9.0,5.0,135.0,77.0
as_path_max,20000.0,20000.0,13.72285,12.8884,8.019529507407276,7.094903968561953,0.0,2.0,8.0,8.0,11.0,10.0,16.0,14.0,31.0,34.0
unique_as_path_max,20000.0,20000.0,3.3244,3.1461,1.4819158018329468,1.352052584890697,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,9.0,11.0
edit_distance_avg,20000.0,20000.0,1.8407754775811067,1.8014918345164377,1.01498372555215,0.9834478404380251,0.0,0.0,1.1630422332627366,1.2,1.754165996047556,1.7692307692307692,2.412110408348739,2.2857142857142856,6.38,11.0
edit_distance_max,20000.0,20000.0,4.21115,3.6507,3.533254855228193,2.3600779665935656,0.0,0.0,2.0,2.0,4.0,3.0,6.0,4.0,21.0,24.0
edit_distance_dict_0,20000.0,20000.0,7.1791,1.86655,6.9844729459792925,3.3879809648595893,0.0,0.0,0.0,0.0,6.0,1.0,12.0,2.0,44.0,43.0
edit_distance_dict_1,20000.0,20000.0,6.3308,3.25665,6.875786150089246,5.145532489716699,0.0,0.0,0.0,0.0,4.0,2.0,11.0,4.0,40.0,62.0
edit_distance_dict_2,20000.0,20000.0,8.7987,3.9374,11.245016710972086,6.7631404128120955,0.0,0.0,0.0,1.0,3.0,2.0,16.0,5.0,59.0,88.0
edit_distance_dict_3,20000.0,20000.0,2.72675,1.63665,4.7093623073795365,3.0005794359335947,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,29.0,57.0
edit_distance_dict_4,20000.0,20000.0,0.85555,0.81515,1.9291631037872485,1.973619830732812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,39.0
edit_distance_dict_5,20000.0,20000.0,0.1855,0.22445,0.5639198970443534,0.7469940411441549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,17.0
edit_distance_dict_6,20000.0,20000.0,0.0706,0.0976,0.2889979515339158,0.5329994788198401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,19.0
edit_distance_unique_dict_0,20000.0,20000.0,4.98895,1.4846,4.7824127248778465,2.4842647641849545,0.0,0.0,0.0,0.0,4.0,1.0,8.0,2.0,28.0,39.0
edit_distance_unique_dict_1,20000.0,20000.0,5.673,2.67715,5.2749182209880665,4.311049423847602,0.0,0.0,0.0,0.0,5.0,1.0,9.0,3.0,28.0,52.0
number_rare_ases,20000.0,20000.0,42.6675,37.49365,38.06539100613079,31.47577633518028,0.0,0.0,16.0,15.0,28.0,24.0,61.0,53.0,232.0,283.0
rare_ases_avg,20000.0,20000.0,0.12720418044722356,0.1449197000389471,0.11384256249866712,0.1148710221723955,0.0,0.0,0.04620122985311855,0.07010639031623955,0.10088579726921196,0.12094138730761114,0.1670711543640477,0.1788617886178861,0.7764705882352942,1.0
nadas,20000.0,20000.0,16.59265,6.26535,43.491482975774375,12.394951436716319,0.0,0.0,1.0,1.0,5.0,3.0,13.0,8.0,364.0,223.0
flaps,20000.0,20000.0,6.46805,1.73855,26.453435852662324,3.347499691592108,0.0,0.0,0.0,0.0,1.0,1.0,5.0,2.0,282.0,73.0
