feature,cohens_d,abs_d,interpretation,capped,importance_weight
edit_distance_dict_0,0.9678295139638745,0.9678295139638745,Large,False,1.0
edit_distance_unique_dict_0,0.9196051927378712,0.9196051927378712,Large,False,1.0
edit_distance_unique_dict_1,0.6219130964480002,0.6219130964480002,Medium,False,1.0
imp_wd_dpath,0.5245496309103476,0.5245496309103476,Medium,False,1.0
edit_distance_dict_2,0.5239174532203111,0.5239174532203111,Medium,False,1.0
edit_distance_dict_1,0.5062329210172816,0.5062329210172816,Medium,False,1.0
imp_wd_spath,0.35901616626926536,0.35901616626926536,Small,False,1.0
imp_wd,0.33235733999583145,0.33235733999583145,Small,False,1.0
nadas,0.3229533947619181,0.3229533947619181,Small,False,1.3
origin_2,0.31260767614903917,0.31260767614903917,Small,False,1.0
origin_changes,0.30639078577909445,0.30639078577909445,Small,False,1.0
nlri_ann,0.2999904482245748,0.2999904482245748,Small,False,1.0
announcements,0.2999904482245748,0.2999904482245748,Small,False,1.5
dups,0.2894848968204062,0.2894848968204062,Small,False,1.0
edit_distance_dict_3,0.2760783472083752,0.2760783472083752,Small,False,1.0
flaps,0.25084097172202985,0.25084097172202985,Small,False,1.5
withdrawals,0.23751821153184546,0.23751821153184546,Small,False,1.5
origin_0,0.21281674958317412,0.21281674958317412,Small,False,1.0
edit_distance_max,0.1865378048073659,0.1865378048073659,Negligible,False,1.0
rare_ases_avg,-0.15491288383339927,0.15491288383339927,Negligible,False,1.0
number_rare_ases,0.1481360474936941,0.1481360474936941,Negligible,False,1.0
unique_as_path_max,0.12569871708874686,0.12569871708874686,Negligible,False,1.0
as_path_max,0.11021160075405584,0.11021160075405584,Negligible,False,1.0
edit_distance_dict_6,-0.0629776036180546,0.0629776036180546,Negligible,False,1.0
edit_distance_dict_5,-0.05885305099393836,0.05885305099393836,Negligible,False,1.0
edit_distance_avg,0.039309580043573156,0.039309580043573156,Negligible,False,1.0
edit_distance_dict_4,0.020701832445875715,0.020701832445875715,Negligible,False,1.0
