feature,ks_statistic,ks_pvalue,wasserstein_distance,similarity_level,similar_by_threshold,importance_weight,adjusted_pvalue,similar_by_adjusted_pvalue
imp_wd_dpath,0.49689999999999995,0.0,0.2799202833117067,Poor,False,1.0,0.0,False
edit_distance_dict_0,0.45849999999999996,0.0,0.43337627738496953,Poor,False,1.0,0.0,False
edit_distance_unique_dict_0,0.44520000000000004,0.0,0.40616559697452437,Poor,False,1.0,0.0,False
edit_distance_unique_dict_1,0.35124999999999995,0.0,0.41401686832025625,Poor,False,1.0,0.0,False
edit_distance_dict_2,0.28500000000000003,0.0,0.3993878810273189,Poor,False,1.0,0.0,False
edit_distance_dict_1,0.2822,0.0,0.3672702376402691,Poor,False,1.0,0.0,False
origin_0,0.25255,0.0,0.15859037687642089,Poor,False,1.0,0.0,False
imp_wd,0.198,0.0,0.31739829923647545,Poor,False,1.0,0.0,False
announcements,0.1778,5.097599115444018e-277,0.18289063924823118,Poor,False,1.5,1.3763517611698848e-276,False
nlri_ann,0.1778,5.097599115444018e-277,0.18289063924823118,Poor,False,1.0,1.3763517611698848e-276,False
edit_distance_dict_3,0.17465000000000003,3.074860403962712e-267,0.23187740195025136,Poor,False,1.0,7.547384627908476e-267,False
origin_2,0.16125,1.2272929871134958e-227,0.19188406086881066,Poor,False,1.0,2.7614092210053657e-227,False
flaps,0.15579999999999994,1.8616526643578456e-212,0.3096268492582017,Poor,False,1.5,3.866509379820141e-212,False
nadas,0.15489999999999993,5.315102623865734e-210,0.19286713593468535,Poor,False,1.3,1.0250555060312488e-209,False
as_path_max,0.15410000000000001,7.871828211425744e-208,0.07986023397203282,Poor,False,1.0,1.4169290780566339e-207,False
imp_wd_spath,0.14274999999999993,2.8563515820367075e-178,0.1624077465168079,Moderate,False,1.0,4.820093294686944e-178,False
edit_distance_max,0.13380000000000003,1.3878405059616025e-156,0.16013757831020323,Moderate,False,1.0,2.2042172741743097e-156,False
edit_distance_dict_4,0.12665000000000004,2.771929320091502e-140,0.22626020097674615,Moderate,False,1.0,4.157893980137253e-140,False
rare_ases_avg,0.11680000000000001,2.5873793905341654e-119,0.037062572298548785,Moderate,False,1.0,3.6768022918117086e-119,False
origin_changes,0.08179999999999998,1.1816542179882093e-58,0.16594838121322325,Good,True,1.0,1.5952331942840826e-58,False
dups,0.07700000000000007,5.165769935905261e-52,0.263247845333483,Good,True,1.0,6.6417042033067645e-52,False
withdrawals,0.0746,7.623363235333109e-49,0.210980089868336,Good,True,1.5,9.355945788817907e-49,False
edit_distance_avg,0.06259999999999999,1.6444495007799585e-34,0.08175666189847317,Good,True,1.0,1.9304407183069077e-34,False
number_rare_ases,0.062,7.356329742202145e-34,0.05016553279347336,Good,True,1.0,8.275870959977413e-34,False
unique_as_path_max,0.04520000000000002,3.424870780746094e-18,0.18575992710876377,Excellent,True,1.0,3.6988604432057816e-18,False
edit_distance_dict_5,0.02429999999999999,1.460504782548899e-05,0.1532403085198132,Excellent,True,1.0,1.5166780434161644e-05,False
edit_distance_dict_6,0.010300000000000087,0.23759019543663118,0.15951453492886208,Excellent,True,1.0,0.23759019543663118,True
