feature,mw_statistic,p_value,importance_weight,adjusted_p_value,similar
edit_distance_dict_0,288405131.5,0.0,1.0,0.0,False
imp_wd_dpath,303130051.0,0.0,1.0,0.0,False
edit_distance_unique_dict_0,284363273.5,0.0,1.0,0.0,False
edit_distance_unique_dict_1,266419036.0,0.0,1.0,0.0,False
edit_distance_dict_1,239102202.0,2.730915636820958e-261,1.0,1.4746944438833174e-260,False
nadas,227822187.0,5.371184514907247e-130,1.3,2.4170330317082615e-129,False
rare_ases_avg,173057296.5,2.0617306063677903e-120,1.0,7.952389481704335e-120,False
flaps,223815210.5,2.9699707395762573e-102,1.5,1.002365124606987e-101,False
edit_distance_dict_4,182243521.0,1.9646423683481565e-82,1.0,5.89392710504447e-82,False
origin_changes,218834336.0,1.8784847257052484e-61,1.0,5.071908759404171e-61,False
dups,217145460.5,5.31371442430825e-54,1.0,1.3042753586938434e-53,False
withdrawals,212861436.5,2.983360857201412e-29,1.5,6.712561928703177e-29,False
origin_0,187124823.0,6.263845952853202e-29,1.0,1.3009526209772037e-28,False
number_rare_ases,212800386.0,1.4473896714694747e-28,1.0,2.791394366405416e-28,False
edit_distance_dict_2,212392043.5,4.9603767930045065e-28,1.0,8.928678227408112e-28,False
unique_as_path_max,212205194.0,1.490062478255938e-27,1.0,2.5144804320568957e-27,False
edit_distance_dict_3,188733526.0,5.783134879967367e-27,1.0,9.184978927006995e-27,False
as_path_max,211807089.0,1.089837290381964e-24,1.0,1.634755935572946e-24,False
edit_distance_max,209744074.5,1.6650740389525333e-17,1.0,2.3661578448272843e-17,False
imp_wd_spath,191355594.0,2.1807438196517562e-17,1.0,2.944004156529871e-17,False
edit_distance_dict_5,195545705.0,4.446221071260995e-11,1.0,5.716569948764136e-11,False
imp_wd,204869756.0,2.1415075761093512e-05,1.0,2.6282138434069312e-05,False
edit_distance_avg,202624048.0,0.023042699426511704,1.0,0.02705012541373113,False
announcements,201418557.5,0.21918878043766588,1.5,0.23672388287267915,True
nlri_ann,201418557.5,0.21918878043766588,1.0,0.23672388287267915,True
origin_2,198620514.5,0.23187348595826152,1.0,0.2407916969566562,True
edit_distance_dict_6,199478315.5,0.2827413459289928,1.0,0.2827413459289928,True
