feature,ks_statistic,wasserstein_distance,similarity_level,importance_weight,cohens_d,abs_d,interpretation,ks_weighted,effect_weighted,composite_score
edit_distance_dict_0,0.45849999999999996,0.43337627738496953,Poor,1.0,0.9678295139638745,0.9678295139638745,Large,0.45849999999999996,0.9678295139638745,0.7131647569819373
edit_distance_unique_dict_0,0.44520000000000004,0.40616559697452437,Poor,1.0,0.9196051927378712,0.9196051927378712,Large,0.44520000000000004,0.9196051927378712,0.6824025963689356
imp_wd_dpath,0.49689999999999995,0.2799202833117067,Poor,1.0,0.5245496309103476,0.5245496309103476,Medium,0.49689999999999995,0.5245496309103476,0.5107248154551738
edit_distance_unique_dict_1,0.35124999999999995,0.41401686832025625,Poor,1.0,0.6219130964480002,0.6219130964480002,Medium,0.35124999999999995,0.6219130964480002,0.48658154822400007
edit_distance_dict_2,0.28500000000000003,0.3993878810273189,Poor,1.0,0.5239174532203111,0.5239174532203111,Medium,0.28500000000000003,0.5239174532203111,0.4044587266101556
edit_distance_dict_1,0.2822,0.3672702376402691,Poor,1.0,0.5062329210172816,0.5062329210172816,Medium,0.2822,0.5062329210172816,0.3942164605086408
announcements,0.1778,0.18289063924823118,Poor,1.5,0.2999904482245748,0.2999904482245748,Small,0.26670000000000005,0.44998567233686226,0.35834283616843116
nadas,0.15489999999999993,0.19286713593468535,Poor,1.3,0.3229533947619181,0.3229533947619181,Small,0.2013699999999999,0.4198394131904935,0.3106047065952467
flaps,0.15579999999999994,0.3096268492582017,Poor,1.5,0.25084097172202985,0.25084097172202985,Small,0.2336999999999999,0.37626145758304474,0.3049807287915223
imp_wd,0.198,0.31739829923647545,Poor,1.0,0.33235733999583145,0.33235733999583145,Small,0.198,0.33235733999583145,0.26517866999791573
