feature,ks_statistic,wasserstein_distance,similarity_level,importance_weight,mw_statistic,adjusted_p_value,cohens_d,interpretation,capped,synthetic_mean,real_mean,abs_diff,pct_diff
unique_as_path_max,0.79725,0.17956803421746886,Poor,1.0,14269942.0,0.0,-2.2070939529848186,Large,False,3.3244,9.2736,5.9492,64.15200138026225
edit_distance_dict_4,0.6755,0.3293897448620472,Poor,1.0,58662589.5,0.0,-0.9738933986977272,Large,False,0.85555,4.96735,4.1118,82.77653074576988
edit_distance_dict_3,0.6412,0.27240551719063,Poor,1.0,47527168.5,0.0,-1.1952526449916332,Large,False,2.72675,13.70265,10.9759,80.10056448935059
imp_wd_spath,0.6145499999999999,0.3206621955509581,Poor,1.0,90412613.0,0.0,0.048107084765828804,Negligible,False,6.85075,6.06395,0.7867999999999995,12.97504102111659
edit_distance_dict_5,0.6114999999999999,0.39401814200517654,Poor,1.0,70602336.5,0.0,-0.95537045812595,Large,False,0.1855,2.4179,2.2324,92.32805326936598
imp_wd,0.55375,0.3339217226634785,Poor,1.0,70674346.5,0.0,-0.34203035854419206,Small,False,12.2629,21.06925,8.80635,41.79716885983127
origin_0,0.54625,0.20743870400823772,Poor,1.0,99288670.0,0.0,-0.23425614761244956,Small,False,133.18185,184.6961,51.514250000000004,27.891357749297363
dups,0.5458,0.3467072455764525,Poor,1.0,75571567.5,0.0,-0.2589421444303084,Small,False,6.77935,11.452,4.67265,40.80204331121202
edit_distance_dict_6,0.5219,0.4346551759471118,Poor,1.0,92239363.5,0.0,-0.8032143980784997,Large,False,0.0706,1.4613,1.3907,95.16868541709437
edit_distance_max,0.51965,0.14954634845825732,Poor,1.0,85378262.5,0.0,-0.9239373334120794,Large,False,4.21115,7.0049,2.79375,39.882796328284485
edit_distance_dict_1,0.5054,0.40577861287128714,Poor,1.0,57970028.0,0.0,-0.9065194782781063,Large,False,6.3308,25.7451,19.4143,75.40968961083857
edit_distance_dict_2,0.4721,0.2557371792874279,Poor,1.0,97736029.5,0.0,-0.7830864316735943,Medium,False,8.7987,20.3782,11.5795,56.82297749555898
announcements,0.4481,0.1858827618800506,Poor,1.5,125559850.0,0.0,-0.049494872203421615,Negligible,False,180.62815,193.2666,12.638450000000006,6.539386526176797
nlri_ann,0.4481,0.1858827618800506,Poor,1.0,125559850.0,0.0,-0.049494872203421615,Negligible,False,180.62815,193.2666,12.638450000000006,6.539386526176797
flaps,0.4459000000000001,0.2487430492008631,Poor,1.5,116901296.0,0.0,0.03628134511067353,Negligible,False,6.46805,5.75345,0.7145999999999999,12.420373862638936
rare_ases_avg,0.4373,0.13603167002843797,Poor,1.0,291410839.0,0.0,0.877001742028431,Large,False,0.12720418044722356,0.05425348055672195,0.07295069989050161,134.4627093818096
edit_distance_unique_dict_1,0.40785000000000005,0.5039757202791435,Poor,1.0,82672283.0,0.0,-0.6962131798956168,Medium,False,5.673,16.3474,10.6744,65.29723381088124
origin_2,0.3929,0.05545724339324597,Poor,1.0,286199232.0,0.0,0.4540759644639499,Small,False,45.574,7.8714,37.7026,478.9821378661991
withdrawals,0.3833,0.13093010374843722,Poor,1.5,112898151.0,0.0,-0.08736466811457762,Negligible,False,15.16575,19.2937,4.127950000000002,21.395325935408977
imp_wd_dpath,0.38125,0.26614295524554005,Poor,1.0,112105435.0,0.0,-0.3419968058952334,Small,False,9.70805,15.0053,5.29725,35.30252644065763
origin_changes,0.34604999999999997,0.1539273319872428,Poor,1.0,290486668.0,0.0,0.5121966453308922,Medium,False,6.396,1.2437,5.1523,414.2719305298706
edit_distance_avg,0.31065,0.03059847643781292,Poor,1.0,150500143.0,0.0,-0.3371738116145131,Small,False,1.8407754775811067,2.1074799173034022,0.2667044397222955,12.655135526204852
as_path_max,0.28315,0.30461336398152933,Poor,1.0,164985132.0,1.5907412412830666e-203,0.16159079670263074,Negligible,False,13.72285,12.7343,0.98855,7.762892345869031
edit_distance_unique_dict_0,0.24285,0.2986119529122825,Poor,1.0,176963148.5,2.8507623044383583e-89,-0.15778625936773663,Negligible,False,4.98895,5.80595,0.8170000000000002,14.071771200234245
edit_distance_dict_0,0.23704999999999998,0.31942905190247883,Poor,1.0,174626824.5,1.468314589450084e-107,-0.19097613107053615,Negligible,False,7.1791,8.73795,1.5588499999999996,17.839996795587062
number_rare_ases,0.2061,0.29357469904644606,Poor,1.0,176288918.0,1.0808335616280904e-93,-0.08834007247054793,Negligible,False,42.6675,46.5803,3.9128000000000043,8.400117646301128
nadas,0.18184999999999998,0.2980526727095165,Poor,1.3,183514209.5,1.5352932194088794e-46,0.23187203235031484,Small,False,16.59265,9.19255,7.400099999999998,80.50105792190413
