,synthetic_mean,real_mean,abs_diff,pct_diff
origin_2,45.574,7.8714,37.7026,478.9821378661991
origin_changes,6.396,1.2437,5.1523,414.2719305298706
rare_ases_avg,0.12720418044722356,0.05425348055672195,0.07295069989050161,134.4627093818096
edit_distance_dict_6,0.0706,1.4613,1.3907,95.16868541709437
edit_distance_dict_5,0.1855,2.4179,2.2324,92.32805326936598
edit_distance_dict_4,0.85555,4.96735,4.1118,82.77653074576988
nadas,16.59265,9.19255,7.400099999999998,80.50105792190413
edit_distance_dict_3,2.72675,13.70265,10.9759,80.10056448935059
edit_distance_dict_1,6.3308,25.7451,19.4143,75.40968961083857
edit_distance_unique_dict_1,5.673,16.3474,10.6744,65.29723381088124
unique_as_path_max,3.3244,9.2736,5.9492,64.15200138026225
edit_distance_dict_2,8.7987,20.3782,11.5795,56.82297749555898
imp_wd,12.2629,21.06925,8.80635,41.79716885983127
dups,6.77935,11.452,4.67265,40.80204331121202
edit_distance_max,4.21115,7.0049,2.79375,39.882796328284485
imp_wd_dpath,9.70805,15.0053,5.29725,35.30252644065763
origin_0,133.18185,184.6961,51.514250000000004,27.891357749297363
withdrawals,15.16575,19.2937,4.127950000000002,21.395325935408977
edit_distance_dict_0,7.1791,8.73795,1.5588499999999996,17.839996795587062
edit_distance_unique_dict_0,4.98895,5.80595,0.8170000000000002,14.071771200234245
imp_wd_spath,6.85075,6.06395,0.7867999999999995,12.97504102111659
edit_distance_avg,1.8407754775811067,2.1074799173034022,0.2667044397222955,12.655135526204852
flaps,6.46805,5.75345,0.7145999999999999,12.420373862638936
number_rare_ases,42.6675,46.5803,3.9128000000000043,8.400117646301128
as_path_max,13.72285,12.7343,0.98855,7.762892345869031
announcements,180.62815,193.2666,12.638450000000006,6.539386526176797
nlri_ann,180.62815,193.2666,12.638450000000006,6.539386526176797
