timestamp,announcements,withdrawals,nlri_ann,dups,origin_0,origin_2,origin_changes,imp_wd,imp_wd_spath,imp_wd_dpath,as_path_max,unique_as_path_max,edit_distance_avg,edit_distance_max,edit_distance_dict_0,edit_distance_dict_1,edit_distance_dict_2,edit_distance_dict_3,edit_distance_dict_4,edit_distance_dict_5,edit_distance_dict_6,edit_distance_unique_dict_0,edit_distance_unique_dict_1,number_rare_ases,rare_ases_avg,nadas,flaps,label
2024-01-01 00:00:00,0,3,0,0,0,0,0,0,0,0,7,2,1,3,0,0,0,0,0,0,0,0,0,33,0,0,0,normal
2024-01-01 00:01:00,6,2,6,0,5,0,1,0,0,0,25,6,2,9,0,0,0,14,0,10,1,0,0,60,0,0,0,normal
2024-01-01 00:02:00,28,0,28,0,23,5,1,0,0,0,24,3,1,5,0,0,0,0,0,0,0,0,0,35,0,95,0,normal
2024-01-01 00:03:00,7,3,7,5,0,6,37,3,0,8,24,3,0,4,0,13,0,4,0,0,0,6,9,12,0,2,0,normal
2024-01-01 00:04:00,6,4,6,0,0,5,10,0,0,2,16,5,2,7,0,15,0,92,0,0,0,0,13,71,0,0,0,normal
2024-01-01 00:05:00,4,2,4,0,3,0,0,0,0,0,10,2,0,2,0,0,0,0,0,0,0,0,0,32,0,0,0,normal
2024-01-01 00:06:00,0,2,0,0,0,0,6,0,0,0,25,2,1,5,0,0,0,0,0,0,0,0,0,93,0,0,0,normal
2024-01-01 00:07:00,12,2,12,0,11,0,2,0,0,0,24,4,3,5,0,0,0,0,0,0,0,0,0,66,0,0,0,normal
2024-01-01 00:08:00,2,1,2,0,1,0,0,0,0,0,9,4,2,3,0,0,0,5,0,0,0,0,0,32,0,0,24,normal
2024-01-01 00:09:00,9,1,9,0,8,0,0,0,0,0,11,3,0,2,0,0,0,0,0,0,0,0,0,9,0,0,0,normal
2024-01-01 00:10:00,21,2,21,0,15,6,0,3,0,4,25,4,2,9,0,0,0,0,0,0,0,0,2,152,0,0,0,normal
2024-01-01 00:11:00,33,0,33,0,26,7,0,0,0,0,26,3,1,5,0,19,0,0,0,0,0,0,7,56,0,0,0,normal
2024-01-01 00:12:00,2,3,2,0,1,0,0,0,0,0,11,4,1,5,0,0,0,0,0,0,0,0,0,69,0,0,0,normal
2024-01-01 00:13:00,19,1,19,0,18,0,0,0,0,0,7,2,0,1,0,0,0,0,0,0,0,0,0,15,0,0,0,normal
2024-01-01 00:14:00,3,3,3,0,2,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,normal
2024-01-01 00:15:00,12,1,12,0,3,9,0,0,0,0,6,3,0,1,0,6,0,0,0,0,0,0,4,10,0,0,0,normal
2024-01-01 00:16:00,15,2,15,0,14,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,normal
2024-01-01 00:17:00,0,3,0,15,0,0,2,11,8,3,10,3,2,4,15,1,0,0,0,0,0,30,0,9,0,2,1,normal
2024-01-01 00:18:00,0,2,0,0,0,0,0,0,0,0,11,2,2,4,0,0,0,0,0,0,0,0,0,15,0,0,0,normal
2024-01-01 00:19:00,10,2,10,0,9,0,2,0,0,0,26,6,1,4,0,4,0,0,0,0,0,0,1,69,0,0,0,normal
2024-01-01 00:20:00,16,1,16,45,0,15,4,28,25,3,24,3,0,4,25,7,12,0,0,0,0,18,0,0,0,0,7,normal
2024-01-01 00:21:00,0,3,0,0,0,0,0,0,0,0,11,2,0,3,0,0,0,0,0,0,0,0,0,28,0,0,0,normal
2024-01-01 00:22:00,5,1,5,0,4,0,0,0,0,0,6,3,1,3,0,0,0,0,0,0,0,0,0,13,0,0,0,normal
2024-01-01 00:23:00,4,2,4,0,3,0,0,0,0,0,10,2,0,2,0,2,0,0,0,0,0,0,1,7,0,0,6,normal
2024-01-01 00:24:00,2,1,2,2,0,2,0,0,1,0,8,2,1,3,1,0,0,0,0,0,0,1,0,28,0,18,0,normal
2024-01-01 00:25:00,6,1,6,0,5,0,0,0,0,0,8,5,4,6,0,0,0,0,0,0,0,0,0,17,0,0,0,normal
