announcements,withdrawals,nlri_ann,dups,origin_0,origin_2,origin_changes,imp_wd,imp_wd_spath,imp_wd_dpath,as_path_max,unique_as_path_max,edit_distance_avg,edit_distance_max,edit_distance_dict_0,edit_distance_dict_1,edit_distance_dict_2,edit_distance_dict_3,edit_distance_dict_4,edit_distance_dict_5,edit_distance_dict_6,edit_distance_unique_dict_0,edit_distance_unique_dict_1,number_rare_ases,rare_ases_avg,nadas,flaps,label
90,3,90,0,88,2,0,13,1,12,30,3,2.5933244299329314,6,10,10,4,5,0,0,0,3,14,15,0.34977579260582353,12,0,normal
219,0,219,2,218,1,0,32,11,21,27,2,1.600139037075994,2,6,10,0,0,0,0,0,0,0,4,0.12961514086760464,11,33,normal
126,4,126,1,106,20,1,0,0,3,30,6,1.7842645694065629,9,12,0,9,7,2,0,0,7,15,122,0.1557585264722136,38,1,normal
43,2,43,0,32,10,0,5,0,7,22,2,0.7258678390670905,5,19,11,11,0,1,0,0,0,10,25,0.16341450713168132,3,2,normal
82,11,82,0,70,11,2,3,0,6,23,4,4.932461874801488,7,4,0,21,3,4,0,0,11,0,86,0.11909201739738536,0,0,normal
133,0,133,0,121,12,3,7,0,8,30,4,2.267748336680918,7,5,2,11,9,3,0,0,13,8,17,0.20076538354735943,10,0,normal
117,4,117,1,108,9,2,8,0,9,30,3,1.3528642470368517,7,20,0,0,7,8,1,0,0,7,18,0.18289647842744955,1,0,normal
92,0,92,0,90,1,0,12,1,11,30,1,3.1123423646074677,7,13,20,26,0,1,0,0,7,0,12,0.022299700889929046,17,2,normal
235,7,235,0,230,5,3,2,0,5,23,6,3.376763268450014,6,3,6,0,0,0,0,0,0,10,60,0.0,0,33,normal
89,0,89,0,88,0,0,56,21,34,30,3,1.470270997544527,6,11,25,0,10,0,0,0,0,3,17,0.007923270749167249,1,2,normal
106,1,106,2,96,10,3,16,3,13,30,2,0.7023485947621768,5,2,14,0,0,0,0,0,1,0,31,0.011727222592866541,5,0,normal
102,0,102,3,95,6,2,0,0,3,30,3,2.4426091100859533,8,2,11,40,0,0,2,0,3,13,14,0.07113921244324917,4,6,normal
99,10,99,0,98,0,0,3,0,6,30,3,2.914762526129428,8,8,2,14,17,0,0,0,0,0,146,0.17414574530257046,31,4,normal
43,4,43,1,37,5,3,0,0,4,21,2,2.4565818746419295,6,0,0,10,6,0,0,0,5,1,8,0.018595169658245547,7,0,normal
86,2,86,0,85,0,0,23,6,17,30,2,1.8222287179912908,4,0,11,5,1,0,0,0,6,17,100,0.1350131937703138,6,0,normal
219,2,219,2,207,12,1,4,0,5,16,2,1.4955164983776212,3,2,7,0,1,0,0,0,14,2,23,0.24206421882856252,0,0,normal
106,1,106,5,103,2,0,0,0,4,30,4,0.04238938930935654,3,0,0,0,0,0,0,0,8,17,22,0.4083248723043216,17,0,normal
95,1,95,1,92,2,2,14,3,11,30,4,0.07268549227357868,3,9,0,0,0,0,0,0,12,11,10,0.0742539470199715,0,5,normal
43,3,43,0,32,11,0,3,0,6,23,1,3.276753013798565,4,0,0,9,0,0,0,0,3,0,51,0.0027835951368096394,0,4,normal
124,4,124,1,124,0,0,2,0,5,30,1,1.3787030475006898,2,0,22,20,0,0,0,0,8,10,3,0.3794464170353653,16,0,normal
106,1,106,1,102,4,1,6,0,7,30,7,1.8493521998807654,10,19,25,36,16,0,0,0,7,14,90,0.045765487510596475,1,4,normal
111,4,111,4,99,11,3,8,0,8,30,3,1.8973577964894166,7,4,9,3,10,9,0,0,0,16,23,0.035645320242845134,88,0,normal
112,6,112,1,109,2,2,6,0,7,29,5,2.252886034201563,10,7,8,16,9,2,2,1,6,10,64,0.16498542558937754,1,0,normal
116,0,116,0,83,32,0,0,0,4,24,4,3.0267606315955096,7,0,4,26,7,0,0,0,9,7,94,0.12151655818528845,13,0,normal
90,0,90,0,87,2,0,7,0,9,30,3,5.471278538376469,10,1,0,0,6,1,2,0,5,5,116,0.16421885744175604,1,8,normal
222,0,222,2,221,0,2,1,0,4,30,4,2.29485461258986,5,8,19,0,0,0,0,0,6,6,16,0.23892921465017522,1,1,normal
112,1,112,4,102,10,4,6,0,8,30,1,1.2444265993145547,4,0,22,38,0,0,0,0,0,17,20,0.0029278004719647125,31,0,normal
161,5,161,0,154,7,2,0,0,5,30,2,0.8832493398234794,3,10,0,7,0,0,0,0,17,0,63,0.021437603757163262,1,6,normal
91,1,91,0,87,3,0,5,0,7,30,6,2.948449656034339,9,1,6,26,0,0,0,0,0,12,75,0.28610868840678333,7,13,normal
78,4,78,0,54,23,5,2,0,6,21,4,1.0301684366297448,6,3,3,9,6,2,0,0,2,0,20,0.03225710142106393,8,0,normal
102,3,102,0,93,9,1,0,0,5,30,4,3.004273370451195,7,1,3,36,5,0,0,0,13,13,154,0.04192592093609798,1,1,normal
101,1,101,0,100,0,1,279,170,135,30,3,1.4748907648973368,6,22,17,0,20,0,0,0,13,5,24,0.010096533307867797,1,0,normal
208,27,208,0,207,1,1,2,0,6,30,2,1.5502581970203293,3,7,0,14,0,0,0,0,4,5,28,0.4135629163464394,1,0,normal
100,1,100,2,94,5,2,20,5,14,30,3,0.37516231703637626,6,0,11,0,12,0,0,0,4,7,13,0.056219123356809154,7,9,normal
107,0,107,0,102,4,2,9,0,9,30,4,2.6315923969894732,9,13,13,2,9,6,0,0,11,14,29,0.0615583776206293,8,7,normal
122,1,122,1,103,19,4,3,0,5,30,2,1.321413362056989,5,0,6,2,3,3,0,0,11,12,17,0.12905903641764244,1,4,normal
148,3,148,2,110,38,8,9,0,9,30,1,5.546477958250189,2,9,15,0,0,0,0,0,7,8,11,0.11795422371570659,7,0,normal
176,12,176,0,162,14,7,7,0,9,30,4,1.5320589518477592,5,0,9,0,0,0,0,0,9,2,14,0.17545574480501822,17,0,normal
157,5,157,0,152,5,1,3,0,5,30,4,2.154527106034519,7,0,17,11,11,0,0,0,6,1,24,0.02051042968142634,1,1,normal
120,0,120,3,113,7,1,199,89,110,30,2,2.9633463991048434,6,8,0,18,0,0,0,0,0,7,28,0.1442431547685086,14,6,normal
138,2,138,1,105,33,0,11,1,9,30,3,1.5565674137359033,6,13,4,0,10,0,0,0,10,1,60,0.1386816207711999,9,0,normal
121,0,121,0,92,29,1,0,0,5,30,4,3.2356534388668803,14,8,7,3,14,5,0,0,0,4,22,0.05086501098238191,1,3,normal
132,2,132,1,98,34,0,6,0,7,30,3,2.1351373942098832,11,6,0,47,5,1,0,1,0,0,21,0.060974748006069356,19,0,normal
94,0,94,0,90,4,2,0,0,4,30,5,1.5993903783314065,13,4,0,16,10,8,1,1,3,6,30,0.028868489678614693,0,8,normal
98,1,98,1,91,7,2,127,56,71,30,2,2.11532249432096,9,0,0,0,5,5,2,0,1,5,29,0.09348102733484215,0,0,normal
98,6,98,1,96,2,0,31,11,20,30,5,1.3816507491160122,6,0,15,0,0,0,0,0,1,1,126,0.027562727892069847,26,3,normal
115,2,115,1,108,7,3,1,0,5,23,3,2.2149736037402015,3,2,1,15,0,0,0,0,17,0,16,0.1437986164890868,11,0,normal
95,2,95,0,94,0,0,16,3,13,30,3,2.6293905210816897,4,15,0,0,0,0,0,0,11,4,18,0.3246566639528363,0,1,normal
115,4,115,0,104,10,6,7,0,9,30,5,2.1385547977549995,9,9,14,3,0,1,0,0,7,4,50,0.24500508013921535,36,1,normal
270,1,270,1,267,2,1,7,0,8,13,4,1.7101746669744586,2,0,0,0,0,0,0,0,11,12,19,0.060033891364149,0,0,normal
147,0,147,1,116,30,14,14,2,12,30,4,2.8182086698803417,9,10,0,49,14,4,1,1,15,7,10,0.04924026258774457,16,2,normal
118,1,118,0,106,12,1,8,0,8,30,2,0.0,3,3,4,0,0,0,0,0,0,3,42,0.26786545913220816,1,277,normal
123,2,123,1,117,5,2,13,1,12,21,3,2.455740299008279,7,1,0,24,15,0,3,0,2,10,78,0.09273952414473612,117,9,normal
130,4,130,1,119,10,3,3,0,6,30,3,2.189713178682772,2,12,0,0,0,0,0,0,7,0,77,0.04778669201493252,15,6,normal
115,2,115,0,112,2,0,0,0,4,30,4,3.0666854025716788,7,15,12,26,9,0,0,0,5,6,111,0.037661459847660554,0,1,normal
112,2,112,6,99,13,3,8,0,8,30,1,0.838062038612641,2,14,14,0,0,0,0,0,2,6,47,0.03521224198632552,5,24,normal
103,1,103,1,97,6,1,1,0,4,30,4,3.52538575362559,7,0,13,38,0,0,0,0,11,12,44,0.03569838523740738,34,0,normal
126,1,126,4,114,12,7,0,0,4,30,3,3.2641139333377422,12,4,16,11,0,1,0,0,3,11,27,0.16374955155931456,9,0,normal
33,6,33,0,30,3,2,0,0,4,22,2,1.2993132718930762,4,8,16,15,0,2,0,0,0,4,23,0.010552836025504215,2,0,normal
210,11,210,0,195,14,2,0,0,4,22,2,2.3274192893998613,8,16,0,13,3,0,2,2,13,6,27,0.5635574612340659,3,0,normal
131,0,131,3,126,5,2,5,0,6,30,3,1.9346391990583482,7,2,11,10,18,2,0,0,14,8,232,0.20808873854949722,1,1,normal
103,2,103,2,102,1,2,5,0,6,30,2,1.2878084500203477,1,5,0,0,0,0,0,0,16,1,10,0.13207639011536337,1,0,normal
79,3,79,0,52,27,3,12,1,11,20,2,1.6083797141368497,3,0,0,0,14,0,0,0,16,0,26,0.1402854346578538,0,4,normal
110,0,110,4,107,2,2,5,0,7,30,5,2.5368775270047603,8,0,12,0,2,0,0,0,3,6,72,0.06760034601766782,79,0,normal
91,0,91,0,87,4,0,3,0,6,30,1,4.142557529301769,12,13,0,8,6,1,1,0,2,16,28,0.20846097223126905,8,0,normal
113,14,113,0,111,1,0,5,0,7,30,5,1.2449083697968812,11,18,0,0,0,1,0,1,0,5,24,0.106389064004522,211,12,normal
81,7,81,0,79,1,0,57,22,35,28,3,2.644003411127799,5,5,12,18,2,0,0,0,0,10,41,0.07808694578900896,1,0,normal
104,5,104,0,92,11,3,2,0,6,30,5,2.5062292650162954,6,15,11,0,0,0,0,0,7,4,199,0.7460382213988697,1,1,normal
115,2,115,4,103,12,5,8,0,8,30,3,2.052262175250236,5,10,8,12,8,0,0,0,0,0,232,0.024916360587400644,0,0,normal
80,5,80,0,80,0,1,1,0,5,24,2,2.5962001499245853,4,0,0,31,0,0,0,0,8,8,37,0.040047750300673576,5,2,normal
130,1,130,1,105,25,6,59,23,36,30,3,2.6279283483689406,6,10,13,12,0,0,0,0,7,2,38,0.1456773937906883,1,6,normal
107,1,107,2,100,7,4,3,0,6,30,4,2.3781051973496456,6,20,13,0,7,0,0,0,0,0,100,0.1292679092864245,1,0,normal
97,6,97,1,95,2,2,0,0,3,30,7,1.9767927376672334,12,6,8,8,4,4,0,0,8,7,22,0.0,24,0,normal
137,2,137,0,134,3,0,0,0,5,30,8,3.174541821064967,9,20,0,28,0,0,0,0,9,8,17,0.04760545495906505,1,8,normal
184,0,184,1,168,16,3,30,10,20,30,3,2.222137638216422,4,0,4,0,0,0,0,0,0,14,64,0.010252782284268184,10,3,normal
102,5,102,1,101,1,0,14,3,11,30,1,2.0841999553182933,3,13,14,10,0,0,0,0,2,11,59,0.2713950878750007,29,7,normal
190,10,190,0,175,14,3,279,212,135,25,4,2.031759935589788,4,8,19,21,0,0,0,0,7,9,33,0.06327377759982433,8,3,normal
109,12,109,0,102,7,1,5,0,8,21,5,2.096472934841575,8,4,4,48,7,0,0,0,0,11,111,0.04590384256553271,0,0,normal
123,5,123,2,108,15,0,15,3,13,30,2,1.1799140958126388,1,7,0,0,0,0,0,0,0,0,33,0.11593566301539897,7,0,normal
121,1,121,1,116,4,3,10,1,9,30,4,2.07251921292559,11,0,6,13,0,2,2,0,6,3,156,0.18794759213153825,1,0,normal
158,5,158,0,152,6,2,0,0,5,30,2,2.840209700334613,1,5,0,0,0,0,0,0,0,7,126,0.061967543382351546,17,1,normal
111,5,111,0,98,13,1,5,0,7,30,3,1.5296251474954277,6,10,2,0,1,3,0,0,0,12,13,0.10058271687911227,0,1,normal
111,12,111,1,98,13,0,0,0,3,30,3,1.111264583599154,6,19,0,0,5,0,0,0,0,0,26,0.25480002284818143,14,0,normal
44,8,44,0,36,8,2,0,0,4,23,3,2.874616490897984,12,1,16,19,0,3,1,0,0,0,59,0.42098341221924007,5,0,normal
133,0,133,0,121,11,3,13,2,12,30,1,1.4915006730744507,4,0,22,14,20,4,0,0,3,0,19,0.02912459593738434,18,0,normal
107,0,107,0,82,25,0,0,0,5,26,1,1.4741864623942158,3,2,2,15,9,0,0,0,14,2,8,0.15380804842097898,33,0,normal
43,3,43,0,31,12,0,0,0,5,24,5,2.12224881258183,6,13,0,10,0,0,0,0,10,7,140,0.6631850444435244,0,1,normal
134,14,134,6,128,6,2,0,0,3,30,3,1.7791841550543166,5,9,6,12,0,0,0,0,7,0,11,0.060825686423094924,9,5,normal
132,0,132,2,122,9,3,21,6,15,30,4,2.3236421041950557,5,2,6,0,0,0,0,0,2,3,75,0.009824099964479279,5,3,normal
152,5,152,4,142,9,3,3,0,4,30,6,2.2296760840471577,5,11,0,0,0,0,0,0,6,8,77,0.057039568066395104,11,1,normal
89,0,89,0,88,1,0,46,17,29,30,2,1.8859193483203551,6,7,7,8,13,6,2,0,9,4,30,0.1500105233619705,12,0,normal
104,1,104,0,102,2,2,3,0,6,30,4,2.9950904439425385,11,15,0,0,16,5,2,0,11,0,44,0.040043867248793906,0,232,normal
97,1,97,4,90,7,4,279,160,135,25,5,0.7887136516991484,7,0,0,3,0,4,0,0,0,8,25,0.001450700040684133,1,6,normal
89,1,89,0,88,0,0,5,0,7,30,2,0.6401559079229597,2,3,14,0,0,0,0,0,0,10,26,0.18739894598583107,0,8,normal
31,1,31,1,29,2,1,0,0,4,18,3,1.5534303710007702,3,2,11,7,0,0,0,0,15,0,69,0.1174666169093916,0,24,normal
97,0,97,0,95,2,0,2,0,6,30,2,2.1291524094451755,3,0,16,19,0,0,0,0,12,2,11,0.1358798486129488,15,1,normal
108,1,108,2,104,3,2,0,0,3,30,4,2.1936838331329986,6,9,0,13,15,0,0,0,5,0,76,0.1567494210857973,4,1,normal
150,8,150,0,119,31,6,0,0,5,30,2,3.4409495097438416,4,9,23,7,0,0,0,0,2,19,7,0.15210136034399027,11,8,normal
98,1,98,0,93,4,0,0,0,5,30,7,2.7092501019712927,10,6,0,0,7,0,0,0,1,5,67,0.21448039999346602,1,0,normal
92,1,92,1,88,4,1,5,0,6,30,4,1.6685678515183298,8,4,13,5,2,8,0,0,1,1,13,0.10761186075103153,2,0,normal
240,0,240,0,238,2,1,0,0,4,12,3,1.5187258589072332,3,0,0,16,5,0,0,0,0,8,14,0.026695994717898876,0,0,normal
132,2,132,1,98,34,0,23,7,16,30,3,1.517817748026378,5,3,1,20,1,0,0,0,3,0,15,0.1316964599528035,19,1,normal
156,1,156,0,100,56,0,6,0,8,30,3,1.3422701175728144,9,4,20,14,7,0,0,1,4,7,23,0.0037951060990984668,0,0,normal
129,13,129,2,114,15,1,0,0,3,30,5,1.4276035130280331,5,0,0,0,0,0,0,0,0,6,50,0.0490359863290335,1,3,normal
112,2,112,5,99,13,3,0,0,4,30,3,1.6155929503247277,5,5,3,0,0,0,0,0,5,11,9,0.16639691075939844,9,3,normal
107,4,107,0,79,28,2,8,0,9,27,3,1.2843581085650069,4,10,3,23,0,0,0,0,11,0,12,0.13883485792461261,1,0,normal
116,4,116,3,103,12,0,14,2,12,28,4,2.99590728956817,12,23,8,0,3,0,0,1,1,6,101,0.1113215979526726,1,3,normal
147,12,147,0,136,11,4,3,0,6,30,2,1.7942149063445139,5,8,12,26,0,0,0,0,11,7,69,0.008476308198034141,10,10,normal
107,1,107,2,98,8,3,8,0,9,30,4,2.017519883219802,6,9,17,18,0,0,0,0,7,2,17,0.0660486670433987,1,0,normal
91,1,91,0,90,0,0,0,0,4,30,2,2.56713213025094,5,6,3,0,0,0,0,0,6,15,57,0.397665781868172,0,0,normal
110,1,110,0,94,16,3,28,8,19,30,4,2.4738859868484573,9,0,0,22,10,0,2,0,0,0,5,0.07646523459187138,8,0,normal
95,3,95,0,94,0,0,0,0,5,30,2,1.2034588702401514,6,6,8,25,0,6,0,0,13,5,40,0.11785766123037084,13,0,normal
120,3,120,0,115,4,0,5,0,7,30,2,2.5071204726737357,7,7,3,29,0,0,0,0,7,0,72,0.030353592563760044,11,5,normal
92,3,92,0,90,2,1,3,0,6,30,5,3.8901404722472557,7,27,0,0,9,0,0,0,7,0,17,0.09907356771080046,1,1,normal
95,11,95,0,94,0,1,3,0,6,31,4,1.6387778364882155,9,5,9,14,0,6,0,0,10,16,43,0.031213555683663727,1,1,normal
102,7,102,0,98,4,1,0,0,5,30,3,0.4172710438677285,6,9,5,21,0,0,0,0,0,2,13,0.10705866361532901,0,1,normal
118,0,118,0,118,0,1,84,35,49,30,2,2.284040742193989,3,6,10,0,0,0,0,0,10,7,15,0.144023049037674,4,10,normal
240,0,240,0,237,2,1,0,0,3,12,1,1.3274954591044446,0,0,0,0,0,0,0,0,3,0,20,0.040004970914099124,1,0,normal
176,1,176,0,169,7,1,29,9,20,25,6,1.4317539936131247,5,17,12,0,0,0,0,0,2,4,67,0.10885690437828797,1,1,normal
